index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
301,71898,-37,-11,697,1000,1,0
302,71922,-40,-8,713,1000,1,0
303,71942,-41,-5,728,1000,1,0
304,71961,-43,-4,743,1000,1,0
305,71982,-45,-4,757,1000,1,0
306,72001,-40,-4,772,1000,1,0
307,72022,-35,-7,787,1000,1,0
308,72042,-33,-8,802,1000,1,0
309,72062,-29,-9,817,1000,1,0
310,72082,-27,-10,831,1000,1,0
311,72102,-24,-11,846,1000,1,0
312,72122,-23,-11,861,1000,1,0
313,72142,-24,-10,876,1000,1,0
314,72162,-25,-9,891,1000,1,0
315,72182,-26,-9,906,1000,1,0
316,72202,-27,-8,920,1000,1,0
317,72222,-26,-7,935,1000,1,0
318,72242,-24,-7,950,1000,1,0
319,72262,-23,-7,965,1000,1,0
320,72282,-22,-7,980,1000,1,0
321,72302,-22,-8,994,1000,1,0
322,72322,-22,-7,9,1000,1,0
323,72341,-23,-7,24,1000,1,0
324,72360,-23,-7,24,1000,1,0
325,72379,-23,-6,24,1000,1,0
326,72399,-23,-5,24,1000,1,0
327,72419,-24,-4,24,1000,1,0
328,72439,-24,-4,24,1000,1,0
329,72459,-23,-5,24,1000,1,0
330,72479,-23,-6,24,1000,1,0
331,72499,-21,-6,24,1000,1,0
332,72519,-18,-7,24,1000,1,0
333,72539,-16,-7,24,1000,1,0
334,72559,-13,-8,24,1000,1,0
335,72579,-13,-8,24,1000,1,0
336,72599,-13,-8,24,1000,1,0
337,72619,-11,-8,24,1000,1,0
338,72639,-9,-8,24,1000,1,0
339,72659,-11,-8,24,1000,1,0
340,72679,-13,-9,24,1000,1,0
341,72699,-13,-10,24,1000,1,0
342,72719,-13,-10,24,1000,1,0
343,72740,-13,-10,24,1000,1,0
344,72760,-13,-11,24,1000,1,0
345,72780,-13,-11,24,1000,1,0
346,72799,-14,-11,24,1000,1,0
347,72819,-16,-11,24,1000,1,0
348,72840,-17,-10,24,1000,1,0
349,72860,-18,-10,24,1000,1,0
350,72880,-20,-10,24,1000,1,0
351,72900,-21,-10,24,1000,1,0
352,72920,-22,-10,24,1000,1,0
353,72940,-22,-9,24,1000,1,0
354,72960,-23,-9,24,1000,1,0
355,72980,-24,-9,24,1000,1,0
356,73000,-25,-7,24,1000,1,0
357,73020,-27,-7,24,1000,1,0
358,73040,-28,-6,24,1000,1,0
359,73060,-29,-7,24,1000,1,0
360,73080,-28,-8,24,1000,1,0
361,73100,-27,-9,24,1000,1,0
362,73120,-26,-10,24,1000,1,0
363,73140,-25,-11,24,1000,1,0
364,73160,-24,-12,24,1000,1,0
365,73180,-23,-14,24,1000,1,0
366,73200,-22,-14,24,1000,1,0
367,73220,-21,-15,24,1000,1,0
368,73240,-21,-16,24,1000,1,0
369,73260,-21,-15,24,1000,1,0
370,73279,-21,-19,24,1000,1,0
371,73300,-22,-21,24,1000,1,0
372,73319,-22,-21,24,1000,1,0
373,73340,-22,-20,24,1000,1,0
