time,sample_time_ms,status,roll,pitch,gx,gy,filtered_roll,filtered_pitch,filtered_gx,filtered_gy,roll_error,pitch_error,roll_u,pitch_u,fl_z,fr_z,rl_z,rr_z,fl_weight,fr_weight,rl_weight,rr_weight,axis_clamp,foot_clamp,slew_limited,ik_failed
8.66,8630,off,0.00174532924,0,0,-0.00218166155,0.000869259122,-0.000286685594,3.52228381e-05,-0.0020381487,-0.000869259122,0.000286685594,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.68,8650,off,0,0.00174532924,-0.00327249244,-0.00109083077,0.000434629561,0.000729321851,-0.00261094957,-0.00128029438,-0.000434629561,-0.000729321851,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.700000000000001,8670,off,0,0,0.00109083077,0.00545415375,0.00021731478,0.000364660926,0.000350474671,0.00410726434,-0.00021731478,-0.000364660926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.72,8690,off,0.00174532924,0.00174532924,0,0.00218166155,0.000981322024,0.00105499511,7.00949386e-05,0.00256678206,-0.000981322024,-0.00105499511,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.74,8710,off,0,0,0.00218166155,0.0043633231,0.000490661012,0.000527497556,0.0017593482,0.00400401466,-0.000490661012,-0.000527497556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.76,8730,off,0,0,0,-0.00218166155,0.000245330506,0.000263748778,0.000351869647,-0.000944526284,-0.000245330506,-0.000263748778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.78,8750,off,0,0,0,-0.00327249244,0.000122665253,0.000131874389,7.03739279e-05,-0.00280689937,-0.000122665253,-0.000131874389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,8770,off,0,0,0.00218166155,0.00109083077,6.13326265e-05,6.59371944e-05,0.00175940397,0.000311284733,-6.13326265e-05,-6.59371944e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.82,8790,off,0.00174532924,0,0.00109083077,-0.00109083077,0.000903330918,3.29685972e-05,0.00122454541,-0.000810407684,-0.000903330918,-3.29685972e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.84,8810,off,0,0.00174532924,0.00327249244,-0.00109083077,0.000451665459,0.000889148912,0.00286290329,-0.00103474618,-0.000451665459,-0.000889148912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.86,8830,off,0,0,-0.00109083077,-0.00327249244,0.000225832729,0.000444574456,-0.00030008395,-0.00282494328,-0.000225832729,-0.000444574456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.88,8850,off,0,0,0.00218166155,-0.00218166155,0.000112916365,0.000222287228,0.00168531248,-0.00231031794,-0.000112916365,-0.000222287228,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,8870,off,0,0,0.00109083077,0.0043633231,5.64581824e-05,0.000111143614,0.00120972714,0.00302859489,-5.64581824e-05,-0.000111143614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.92,8890,off,0,0,0,-0.00109083077,2.82290912e-05,5.5571807e-05,0.000241945425,-0.00026694563,-2.82290912e-05,-5.5571807e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.94,8910,off,0,0,0.00109083077,-0.00109083077,1.41145456e-05,2.77859035e-05,0.000921053695,-0.000926053734,-1.41145456e-05,-2.77859035e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.96,8930,off,0,-0.00174532924,0,0.0043633231,7.0572728e-06,-0.000858771673,0.000184210745,0.00330544775,-7.0572728e-06,0.000858771673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.98,8950,off,0.00174532924,-0.00174532924,0.0043633231,0,0.000876193284,-0.00130205043,0.00352750067,0.000661089551,-0.000876193284,0.00130205043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,8970,off,-0.00174532924,0,-0.00109083077,-0.00327249244,-0.000434567977,-0.000651025213,-0.000167164486,-0.00248577609,0.000434567977,0.000651025213,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.02,8990,off,0,0,0.00545415375,0.00218166155,-0.000217283989,-0.000325512607,0.00432989001,0.001248174,0.000217283989,0.000325512607,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.040000000000001,9010,off,0,0,-0.0043633231,0.00109083077,-0.000108641994,-0.000162756303,-0.00262468052,0.00112229947,0.000108641994,0.000162756303,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.06,9030,off,0,0,0,0.00218166155,-5.43209972e-05,-8.13781517e-05,-0.000524936127,0.00196978915,5.43209972e-05,8.13781517e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.08,9050,off,0,0,-0.00327249244,-0.00327249244,-2.71604986e-05,-4.06890758e-05,-0.00272298139,-0.00222403626,2.71604986e-05,4.06890758e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.1,9070,off,-0.00174532924,-0.00174532924,0.0043633231,0.00545415375,-0.000886244874,-0.000893009128,0.00294606225,0.00391851598,0.000886244874,0.000893009128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.120000000000001,9090,off,0,0,0.00109083077,0.00109083077,-0.000443122437,-0.000446504564,0.00146187702,0.00165636791,0.000443122437,0.000446504564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.14,9110,off,0,0,-0.00218166155,0.00218166155,-0.000221561218,-0.000223252282,-0.00145295379,0.00207660277,0.000221561218,0.000223252282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.16,9130,off,0,0,-0.00109083077,0.00109083077,-0.000110780609,-0.000111626141,-0.00116325542,0.00128798513,0.000110780609,0.000111626141,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.18,9150,off,0,0,-0.00654498488,-0.00109083077,-5.53903046e-05,-5.58130705e-05,-0.00546863908,-0.000615067547,5.53903046e-05,5.58130705e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.200000000000001,9170,off,0,0,-0.00218166155,-0.00109083077,-2.76951523e-05,-2.79065353e-05,-0.00283905724,-0.000995678129,2.76951523e-05,2.79065353e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.22,9190,off,0.00174532924,0,0,0,0.000858817017,-1.39532676e-05,-0.000567811483,-0.000199135626,-0.000858817017,1.39532676e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.24,9210,off,-0.00174532924,0,0.00218166155,0.00109083077,-0.000443256111,-6.97663381e-06,0.00163176691,0.000832837482,0.000443256111,6.97663381e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.26,9230,off,-0.00174532924,0,-0.00218166155,0.00109083077,-0.00109429262,-3.48831691e-06,-0.00141897588,0.00103923213,0.00109429262,3.48831691e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.28,9250,off,0.00174532924,0,-0.00109083077,0.00218166155,0.000325518311,-1.74415845e-06,-0.0011564598,0.00195317576,-0.000325518311,1.74415845e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.3,9270,off,0,0,-0.00218166155,-0.00109083077,0.000162759156,-8.72079227e-07,-0.0019766211,-0.000482029456,-0.000162759156,8.72079227e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.32,9290,off,0.00174532924,0,-0.00218166155,0.0043633231,0.000954044168,-4.36039613e-07,-0.00214065355,0.00339425262,-0.000954044168,4.36039613e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.34,9310,off,-0.00349065848,0,0,0.00218166155,-0.00126830721,-2.18019807e-07,-0.000428130705,0.00242417981,0.00126830721,2.18019807e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.36,9330,off,0,-0.00174532924,-0.0043633231,0.00872664619,-0.000634153606,-0.000872773642,-0.00357628451,0.00746615278,0.000634153606,0.000872773642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.38,9350,off,0.00174532924,0,-0.00109083077,-0.00327249244,0.000555587816,-0.000436386821,-0.00158792152,-0.00112476351,-0.000555587816,0.000436386821,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.4,9370,off,0,-0.00174532924,0,0.00109083077,0.000277793908,-0.00109085802,-0.000317584316,0.000647711917,-0.000277793908,0.00109085802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.42,9390,off,0,0.00174532924,0,0.00109083077,0.000138896954,0.000327235612,-6.35168617e-05,0.00100220705,-0.000138896954,-0.000327235612,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.44,9410,off,0,0,0.00109083077,0.00109083077,6.9448477e-05,0.000163617806,0.000859961263,0.00107310608,-6.9448477e-05,-0.000163617806,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.46,9430,off,0,0,-0.0043633231,-0.0043633231,3.47242385e-05,8.18089029e-05,-0.00331866625,-0.00327603729,-3.47242385e-05,-8.18089029e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
