# t,bfl,bfr,brl,brr,wfl,wfr,wrl,wrr,roll,pitch
5.660000000000000142e+00,8.055532069241055915e-02,9.709237962870614913e-02,9.820801906317484786e-02,8.053313992616470407e-02,-3.037231681999617849e-03,2.937095981658308444e-02,-1.599654515413717615e-03,-2.316631779203451313e-03,-5.054204810951972604e+00,-2.252278626047369059e+00
5.679999999999999716e+00,8.053015705588897899e-02,9.678375675770345410e-02,9.795939225652389171e-02,8.038714889177414613e-02,-3.033658225394555291e-03,2.932603176152144206e-02,-1.729389676351961863e-03,-2.179972728174134344e-03,-5.116161804958762716e+00,-2.240363832829327606e+00
5.700000000000000178e+00,8.049510351785418849e-02,9.618410012524157560e-02,9.743765926212584472e-02,8.028990680711500794e-02,-3.017687627221220942e-03,2.866418552144631496e-02,-1.853969075043784137e-03,-2.090161648900582675e-03,-5.065451956396468169e+00,-2.194473731726833243e+00
5.719999999999999751e+00,8.050282660721677641e-02,9.548628235406982079e-02,9.669391938584429025e-02,8.023961579987744230e-02,-2.992570114753116683e-03,2.754397283560978960e-02,-1.933310394227116813e-03,-2.037674992809931224e-03,-4.907985548529860687e+00,-2.107730800578321961e+00
5.740000000000000213e+00,8.050804873277554730e-02,9.468447102253936543e-02,9.578676052687672138e-02,8.028914021235558640e-02,-2.978232492993348329e-03,2.595392900841562295e-02,-1.946828010622052990e-03,-2.025762965603059712e-03,-4.637642020395003506e+00,-1.989159732919745016e+00
5.759999999999999787e+00,8.052796669073339353e-02,9.375064291971633990e-02,9.470473101223493562e-02,8.033106068558579227e-02,-2.984442164914662132e-03,2.393439478626573427e-02,-1.901040564978268704e-03,-2.075342200861148012e-03,-4.278277921781008075e+00,-1.835712753828876442e+00
5.780000000000000249e+00,8.045942275838306734e-02,9.271290153512383447e-02,9.341445058787753442e-02,8.037962049755176253e-02,-3.023041564307261259e-03,2.161150066164176098e-02,-1.827720889405626964e-03,-2.145044106408748597e-03,-3.836060145835190838e+00,-1.661097797475098448e+00
5.799999999999999822e+00,8.047982058821195883e-02,9.160191565690353754e-02,9.195499497783152232e-02,8.045973896458963326e-02,-3.022227770286552151e-03,1.893242206666260682e-02,-1.735013267608640636e-03,-2.214172087070649664e-03,-3.325303167967705864e+00,-1.452576311769774753e+00
5.820000000000000284e+00,8.060537128061212586e-02,9.039278015247720344e-02,9.046611287464341455e-02,8.055990212750230306e-02,-2.998375421292706622e-03,1.583846446095283494e-02,-1.533341503612596635e-03,-2.327860323392508257e-03,-2.752680443166799940e+00,-1.207125021459477310e+00
5.839999999999999858e+00,8.072350552197921081e-02,8.915693455550559310e-02,8.902865408991111895e-02,8.069806578985889989e-02,-3.006603899175442490e-03,1.240335096564162617e-02,-1.083860531181004422e-03,-2.464416121436014545e-03,-2.102999639473311699e+00,-9.256727580048593751e-01
