# time,x,roll,pitch,fl_mm,fr_mm,rl_mm,rr_mm
3.599999999999999867e-01,-2.977099409848918236e-03,2.661425778809547050e-03,-3.335766740000702113e-02,-1.696514452036293363e+00,-1.700298617666889278e+00,-1.803682682806229121e+00,-1.807407805603584272e+00
3.800000000000000044e-01,-2.984861952422515098e-03,2.688474057290937778e-03,-3.478401882108002330e-02,-1.694335676663924595e+00,-1.698168414088679912e+00,-1.806600515301917564e+00,-1.810369198104635924e+00
4.000000000000000222e-01,-2.991260706166708368e-03,2.713162906639005056e-03,-3.574487964585805477e-02,-1.692913488023684687e+00,-1.696790276812503606e+00,-1.808340616027991121e+00,-1.812149893510237142e+00
4.199999999999999845e-01,-2.995921025714273940e-03,2.733174720315980580e-03,-3.631644239008387925e-02,-1.692134458483509407e+00,-1.696045838015112439e+00,-1.809152560010754307e+00,-1.812994771054968091e+00
4.400000000000000022e-01,-2.998943942391394096e-03,2.666897347456142955e-03,-3.660005228185279902e-02,-1.691879932141905574e+00,-1.695713635786001650e+00,-1.809453180937465433e+00,-1.813109341946863351e+00
4.600000000000000200e-01,-3.000959083040727164e-03,2.028120455765532962e-03,-3.666695094976227948e-02,-1.692376584600762568e+00,-1.695160198359180859e+00,-1.810132455261754370e+00,-1.812242860032998282e+00
4.799999999999999822e-01,-3.002242037041108914e-03,1.743833178152671840e-03,-3.660756623253804548e-02,-1.692770052049551888e+00,-1.694927866754566192e+00,-1.810189888495752797e+00,-1.811668497020826107e+00
5.000000000000000000e-01,-3.002869116099663761e-03,1.709547129022322837e-03,-3.650001618642550322e-02,-1.692966915417492446e+00,-1.694990961438554100e+00,-1.809876713993102681e+00,-1.811359081477219357e+00
5.200000000000000178e-01,-3.003066724504128981e-03,1.833921946971661318e-03,-3.638089174566720707e-02,-1.693011828143603514e+00,-1.695236446446868328e+00,-1.809420036708590196e+00,-1.811227809471741779e+00
5.400000000000000355e-01,-3.003032170926901636e-03,2.044049083072612197e-03,-3.627025515474864570e-02,-1.692953353175097320e+00,-1.695565340634565210e+00,-1.808943180960743247e+00,-1.811222113856064686e+00
5.600000000000000533e-01,-3.002904116378981355e-03,2.270160404564256895e-03,-3.617831871132900362e-02,-1.692855050560403196e+00,-1.695894269088799700e+00,-1.808517293850103069e+00,-1.811293668628838338e+00
5.799999999999999600e-01,-3.002792543402313385e-03,1.757834080170566802e-03,-3.614321249919266038e-02,-1.693470720519452133e+00,-1.695523519654344780e+00,-1.808530748003089217e+00,-1.811057010217505203e+00
5.999999999999999778e-01,-3.002753543441342640e-03,1.449057332482071078e-03,-3.620285057134549345e-02,-1.693931881317244148e+00,-1.695137456990892355e+00,-1.808768751918585327e+00,-1.810757452050719474e+00
6.199999999999999956e-01,-3.002818457486905544e-03,1.455734013185884220e-03,-3.631690423088380221e-02,-1.693915066873979303e+00,-1.695023957030403317e+00,-1.808883945897354240e+00,-1.810721297171524746e+00
6.400000000000000133e-01,-3.002971969990510335e-03,1.648465457966614501e-03,-3.644912746440012730e-02,-1.693633799662787265e+00,-1.695099780224813779e+00,-1.808855755611883609e+00,-1.810901720653297575e+00
6.600000000000000311e-01,-3.003168942179989479e-03,1.935463667231572408e-03,-3.658035098523586964e-02,-1.693244673004079548e+00,-1.695292579057285698e+00,-1.808725679944962028e+00,-1.811198679884266971e+00
6.800000000000000488e-01,-3.003366122172659511e-03,2.245892293358995283e-03,-3.670138932770034002e-02,-1.692845731973789070e+00,-1.695537101661585888e+00,-1.808544478295422753e+00,-1.811524398779317035e+00
7.000000000000000666e-01,-3.003533583428706893e-03,2.530139088174751614e-03,-3.680900034942903576e-02,-1.692494334675113343e+00,-1.695780849804057855e+00,-1.808355613187748290e+00,-1.811818851768076000e+00
7.199999999999999734e-01,-3.003656376310311418e-03,2.758939312065253162e-03,-3.690327004617827145e-02,-1.692219071449150514e+00,-1.695988544840994150e+00,-1.808189817259602039e+00,-1.812049441501859093e+00
7.399999999999999911e-01,-3.003731672414937902e-03,2.920347981913816102e-03,-3.698590729749789974e-02,-1.692028170584988889e+00,-1.696141985123644114e+00,-1.808064458307282685e+00,-1.812205315969841246e+00
7.600000000000000089e-01,-3.003764503318124071e-03,3.015471526111326850e-03,-3.705917915302450738e-02,-1.691916174946447970e+00,-1.696236953018861904e+00,-1.807985323707357539e+00,-1.812290498427231222e+00
7.800000000000000266e-01,-3.003763795372813624e-03,3.053911325390510842e-03,-3.712529432667691781e-02,-1.691869503626916682e+00,-1.696278995579177051e+00,-1.807949558074818608e+00,-1.812317602381749548e+00
8.000000000000000444e-01,-3.003739408623124548e-03,3.049616648584857915e-03,-3.718609491095813124e-02,-1.691870969486718224e+00,-1.696279256306471028e+00,-1.807948906765430408e+00,-1.812302826784319754e+00
8.200000000000000622e-01,-3.003700294047516577e-03,3.017558983668739390e-03,-3.724295156573415727e-02,-1.691903183845988590e+00,-1.696250981545490477e+00,-1.807972683066202180e+00,-1.812262396959082089e+00
8.399999999999999689e-01,-3.003653594598206834e-03,2.971392271177908904e-03,-3.729678211954771255e-02,-1.691950834364734702e+00,-1.696206955271884587e+00,-1.808010112368807487e+00,-1.812210348416488204e+00
8.599999999999999867e-01,-3.003604418698441365e-03,2.922077243465595695e-03,-3.734813361880931493e-02,-1.692001931533584802e+00,-1.696157885397807430e+00,-1.808051914209934941e+00,-1.812157422852799682e+00
8.800000000000000044e-01,-3.003556021663050368e-03,2.877327471079031088e-03,-3.739728578518485697e-02,-1.692048209769599021e+00,-1.696111628323872189e+00,-1.808091143620935926e+00,-1.812110799777416625e+00
9.000000000000000222e-01,-3.003510183160992050e-03,2.841673685233634446e-03,-3.744434953612965633e-02,-1.692084915016461855e+00,-1.696073067837096326e+00,-1.808123416678197204e+00,-1.812074390729643492e+00
9.200000000000000400e-01,-3.003467633569516411e-03,2.816929478249298804e-03,-3.748934690387659835e-02,-1.692110212912312894e+00,-1.696044441493963717e+00,-1.808146694224681328e+00,-1.812049455567885214e+00
9.400000000000000577e-01,-3.003428441289467468e-03,2.802861325442879050e-03,-3.753226787194136049e-02,-1.692124422251022109e+00,-1.696025918523563103e+00,-1.808160803573821696e+00,-1.812035347902293925e+00
9.599999999999999645e-01,-3.003392319328018149e-03,2.797905162600399127e-03,-3.757310543942877362e-02,-1.692129231936630118e+00,-1.696016265814871637e+00,-1.808166854961275272e+00,-1.812030249384009251e+00
9.799999999999999822e-01,-3.003358841161442392e-03,2.799818728651605557e-03,-3.761187318744996233e-02,-1.692127008131448562e+00,-1.696013481711299065e+00,-1.808166671279733073e+00,-1.812031803075715652e+00
1.000000000000000000e+00,-3.003327574661600070e-03,2.806204725514439835e-03,-3.764861053718117356e-02,-1.692120250409850923e+00,-1.696015322162826244e+00,-1.808162307329885810e+00,-1.812037599808302701e+00
1.020000000000000018e+00,-3.003298151649165179e-03,2.814878859392119792e-03,-3.768338053042825930e-02,-1.692111216530151063e+00,-1.696019683791807786e+00,-1.808155696118002309e+00,-1.812045505700084158e+00
1.040000000000000036e+00,-3.003270292609029179e-03,2.824086137955352828e-03,-3.771626397136915165e-02,-1.692101707026379742e+00,-1.696024839821969721e+00,-1.808148428997045309e+00,-1.812053843057388702e+00
1.060000000000000053e+00,-3.003243804076410114e-03,2.832587787457640019e-03,-3.774735259799541498e-02,-1.692092983166998410e+00,-1.696029546207539207e+00,-1.808141655322416996e+00,-1.812061451256351985e+00
1.080000000000000071e+00,-3.003218562334408846e-03,2.839650781460654420e-03,-3.777674288024761989e-02,-1.692085783600465243e+00,-1.696033047138684857e+00,-1.808136075450397673e+00,-1.812067660464284469e+00
1.100000000000000089e+00,-3.003194492818791247e-03,2.844974115429991200e-03,-3.780453120142200640e-02,-1.692080403943325262e+00,-1.696035012934325792e+00,-1.808131996783743478e+00,-1.812072211022041524e+00
1.120000000000000107e+00,-3.003171550856600577e-03,2.848582856273661028e-03,-3.783081060253074696e-02,-1.692076807567676644e+00,-1.696035441410691291e+00,-1.808129424100041849e+00,-1.812075147223323635e+00
1.140000000000000124e+00,-3.003149706454965803e-03,2.850714822507463032e-03,-3.785566892958509844e-02,-1.692074742497998940e+00,-1.696034548289516941e+00,-1.808128160387230343e+00,-1.812076707806434150e+00
1.159999999999999920e+00,-3.003128933874718316e-03,2.851717361146643981e-03,-3.787918806744181716e-02,-1.692073847046914103e+00,-1.696032665084067803e+00,-1.808127900998546256e+00,-1.812077228399603612e+00
1.179999999999999938e+00,-3.003109205557691428e-03,2.851964471205780359e-03,-3.790144391174311150e-02,-1.692073734151696485e+00,-1.696030155688601937e+00,-1.808128310643586367e+00,-1.812077064495230871e+00
1.199999999999999956e+00,-3.003090489434279489e-03,2.851798379135689863e-03,-3.792250677034839090e-02,-1.692074050550062436e+00,-1.696027356586651713e+00,-1.808129078606071527e+00,-1.812076537995255254e+00
1.219999999999999973e+00,-3.003072748515571867e-03,2.851495052213555426e-03,-3.794244195753146420e-02,-1.692074511532158709e+00,-1.696024540772795408e+00,-1.808129952080100855e+00,-1.812075906308097784e+00
1.239999999999999991e+00,-3.003055941794413857e-03,2.851250140412687605e-03,-3.796131042150591856e-02,-1.692074914948632491e+00,-1.696021902245634871e+00,-1.808130750513614604e+00,-1.812075350389477535e+00
1.260000000000000009e+00,-3.003040025708055699e-03,2.851180315637405135e-03,-3.797916931335244134e-02,-1.692075139639894532e+00,-1.696019556245147220e+00,-1.808131365433639282e+00,-1.812074976886509425e+00
1.280000000000000027e+00,-3.003024955663516175e-03,2.851334634520447109e-03,-3.799607245656014959e-02,-1.692075133748981886e+00,-1.696017549906374988e+00,-1.808131750670547655e+00,-1.812074829328103043e+00
1.300000000000000044e+00,-3.003010687342965064e-03,2.851711035553493572e-03,-3.801207071055070358e-02,-1.692074897869835670e+00,-1.696015878412622468e+00,-1.808131907534267446e+00,-1.812074903845019902e+00
1.320000000000000062e+00,-3.002997177670824538e-03,2.852274050149903890e-03,-3.802721224083371182e-02,-1.692074466987998571e+00,-1.696014502644373145e+00,-1.808131868628645833e+00,-1.812075165815923317e+00
1.340000000000000080e+00,-3.002984385432134768e-03,2.852970968801488497e-03,-3.804154271676971760e-02,-1.692073894002003254e+00,-1.696013365469175360e+00,-1.808131682930726791e+00,-1.812075564943397499e+00
1.360000000000000098e+00,-3.002972271592485067e-03,2.853744838926125689e-03,-3.805510545891317709e-02,-1.692073236460440278e+00,-1.696012404965429488e+00,-1.808131403710246721e+00,-1.812076047305991811e+00
1.380000000000000115e+00,-3.002960799394438930e-03,2.854543638683855553e-03,-3.806794155490917514e-02,-1.692072547177722708e+00,-1.696011563848919712e+00,-1.808131079938064101e+00,-1.812076563815708585e+00
1.400000000000000133e+00,-3.002949934306491965e-03,2.855325699273983473e-03,-3.808008995822247805e-02,-1.692071868655504963e+00,-1.696010795127964821e+00,-1.808130751164545247e+00,-1.812077075183764263e+00
1.419999999999999929e+00,-3.002939643889539385e-03,2.856061921251392896e-03,-3.809158757915870330e-02,-1.692071230764268686e+00,-1.696010064507268877e+00,-1.808130445374176665e+00,-1.812077553913011396e+00
1.439999999999999947e+00,-3.002929897628883651e-03,2.856735571588307938e-03,-3.810246937359088037e-02,-1.692070650884263561e+00,-1.696009350312110975e+00,-1.808130179105617241e+00,-1.812077984058604097e+00
1.459999999999999964e+00,-3.002920666763577145e-03,2.857340503756911065e-03,-3.811276843173850432e-02,-1.692070135664604846e+00,-1.696008641781838300e+00,-1.808129959053540015e+00,-1.812078359541519745e+00
1.479999999999999982e+00,-3.002911924130742451e-03,2.857878568242585259e-03,-3.812251606743471966e-02,-1.692069683614076059e+00,-1.696007936505261604e+00,-1.808129784442863430e+00,-1.812078681722686824e+00
1.500000000000000000e+00,-3.002903644032319137e-03,2.858356829552280865e-03,-3.813174190720045736e-02,-1.692069287903875230e+00,-1.696007237629373776e+00,-1.808129649596968536e+00,-1.812078956807964492e+00
1.520000000000000018e+00,-3.002895802124868913e-03,2.858785023794316749e-03,-3.814047397806697576e-02,-1.692068938938966260e+00,-1.696006551285777375e+00,-1.808129546293162138e+00,-1.812079193485829132e+00
1.540000000000000036e+00,-3.002888375329595093e-03,2.859173512709565351e-03,-3.814873879304225834e-02,-1.692068626435484724e+00,-1.696005884504241168e+00,-1.808129465666843849e+00,-1.812079401026928105e+00
1.560000000000000053e+00,-3.002881341758121148e-03,2.859531838008983178e-03,-3.815656143335034028e-02,-1.692068340893762457e+00,-1.696005243724964195e+00,-1.808129399558690231e+00,-1.812079587945464310e+00
1.580000000000000071e+00,-3.002874680649628668e-03,2.859867865350689421e-03,-3.816396562684765820e-02,-1.692068074479774475e+00,-1.696004633903250181e+00,-1.808129341317778138e+00,-1.812079761207289419e+00
1.600000000000000089e+00,-3.002868372315383068e-03,2.860187432745114628e-03,-3.817097382234290598e-02,-1.692067821392178484e+00,-1.696004058126712621e+00,-1.808129286136397784e+00,-1.812079925905388134e+00
1.620000000000000107e+00,-3.002862398088011579e-03,2.860494380105086613e-03,-3.817760725972978164e-02,-1.692067577843431314e+00,-1.696003517621186951e+00,-1.808129231027015615e+00,-1.812080085288939824e+00
1.640000000000000124e+00,-3.002856740273583246e-03,2.860790827720471798e-03,-3.818388603604088577e-02,-1.692067341786694712e+00,-1.696003012013652000e+00,-1.808129174570582309e+00,-1.812080241023829918e+00
1.660000000000000142e+00,-3.002851382105401964e-03,2.861077583037567509e-03,-3.818982916764247781e-02,-1.692067112507473992e+00,-1.696002539728860725e+00,-1.808129116540890147e+00,-1.812080393569427628e+00
1.679999999999999938e+00,-3.002846307699137424e-03,2.861354578815074410e-03,-3.819545464879584712e-02,-1.692066890183762551e+00,-1.696002098423413873e+00,-1.808129057501550729e+00,-1.812080542586341103e+00
1.699999999999999956e+00,-3.002841502009041125e-03,2.861621274246859987e-03,-3.820077950687015417e-02,-1.692066675479143800e+00,-1.696001685383537128e+00,-1.808128998433383705e+00,-1.812080687307801696e+00
1.719999999999999973e+00,-3.002836950785482510e-03,2.861876978623911251e-03,-3.820581985444294199e-02,-1.692066469214128288e+00,-1.696001297848366507e+00,-1.808128940436346088e+00,-1.812080826839937320e+00
1.739999999999999991e+00,-3.002832640533901944e-03,2.862121080995694983e-03,-3.821059093851607996e-02,-1.692066272131118820e+00,-1.696000933239474762e+00,-1.808128884515980417e+00,-1.812080960374568672e+00
1.760000000000000009e+00,-3.002828558475350521e-03,2.862353187327552114e-03,-3.821510718704922843e-02,-1.692066084752429811e+00,-1.696000589295369121e+00,-1.808128831456905949e+00,-1.812081087315755346e+00
1.780000000000000027e+00,-3.002824692508823581e-03,2.862573178390860010e-03,-3.821938225297106390e-02,-1.692065907321758989e+00,-1.696000264129970958e+00,-1.808128781769970717e+00,-1.812081207334194977e+00
1.800000000000000044e+00,-3.002821031502645246e-03,2.862781205365122050e-03,-3.822342906349993075e-02,-1.692065739966445381e+00,-1.695999956340489501e+00,-1.808128734989287389e+00,-1.812081319618606079e+00
1.820000000000000062e+00,-3.002817564182749636e-03,2.862977652471796267e-03,-3.822726001562151005e-02,-1.692065578790112657e+00,-1.695999661185693119e+00,-1.808128688821186714e+00,-1.812081422130983110e+00
1.840000000000000080e+00,-3.002814279137962662e-03,2.863163085870500547e-03,-3.823088681896733704e-02,-1.692065424431645537e+00,-1.695999378829880833e+00,-1.808128644796507034e+00,-1.812081516885496235e+00
1.860000000000000098e+00,-3.002811167237294521e-03,2.863338162819796702e-03,-3.823432026552477797e-02,-1.692065278664091288e+00,-1.695999110832679957e+00,-1.808128604054996202e+00,-1.812081605689151775e+00
1.880000000000000115e+00,-3.002808219579469230e-03,2.863503580623820172e-03,-3.823757063281757462e-02,-1.692065141601573730e+00,-1.695998857289545469e+00,-1.808128566716065588e+00,-1.812081689467896162e+00
1.900000000000000133e+00,-3.002805427477257035e-03,2.863660028770111804e-03,-3.824064769468481229e-02,-1.692065012736568175e+00,-1.695998617739190362e+00,-1.808128532510076880e+00,-1.812081768772247248e+00
1.919999999999999929e+00,-3.002802782596486475e-03,2.863808154299214703e-03,-3.824356071913288802e-02,-1.692064891338881161e+00,-1.695998391488522827e+00,-1.808128501048791748e+00,-1.812081843979740370e+00
1.939999999999999947e+00,-3.002800277004053723e-03,2.863948541633842652e-03,-3.824631848080791569e-02,-1.692064776610456622e+00,-1.695998177719051814e+00,-1.808128471814794747e+00,-1.812081915245192132e+00
1.959999999999999964e+00,-3.002797903200626894e-03,2.864081706282370788e-03,-3.824892928133508813e-02,-1.692064668034419572e+00,-1.695997975812539638e+00,-1.808128444489264020e+00,-1.812081982807044245e+00
1.979999999999999982e+00,-3.002795654135877353e-03,2.864208095198144104e-03,-3.825140096299609049e-02,-1.692064565355321681e+00,-1.695997785340932262e+00,-1.808128419039507051e+00,-1.812082047084395020e+00
2.000000000000000000e+00,-3.002793523161263137e-03,2.864328095047151759e-03,-3.825374095488476983e-02,-1.692064468148957168e+00,-1.695997605642117545e+00,-1.808128395262904808e+00,-1.812082108234514655e+00
2.020000000000000018e+00,-3.002791503942893805e-03,2.864442042463549633e-03,-3.825595630358355481e-02,-1.692064375841337398e+00,-1.695997435857191871e+00,-1.808128372771774295e+00,-1.812082166156900431e+00
2.040000000000000036e+00,-3.002789590525544328e-03,2.864550236909456891e-03,-3.825805366218922032e-02,-1.692064288358295698e+00,-1.695997275598944087e+00,-1.808128351635240882e+00,-1.812082221146822603e+00
2.060000000000000053e+00,-3.002787777304322288e-03,2.864652950510577882e-03,-3.826003932915177791e-02,-1.692064205547350042e+00,-1.695997124398620937e+00,-1.808128331898708918e+00,-1.812082273444988401e+00
2.080000000000000071e+00,-3.002786058920146883e-03,2.864750435882229291e-03,-3.826191927878383470e-02,-1.692064126963623627e+00,-1.695996981500684564e+00,-1.808128313252804764e+00,-1.812082322919274180e+00
2.100000000000000089e+00,-3.002784430372858106e-03,2.864842935074072682e-03,-3.826369914703620090e-02,-1.692064052674503660e+00,-1.695996846681896431e+00,-1.808128295940920172e+00,-1.812082369976798724e+00
2.120000000000000107e+00,-3.002782886863039017e-03,2.864930680532189536e-03,-3.826538428704757272e-02,-1.692063982236903463e+00,-1.695996719234291961e+00,-1.808128279674019234e+00,-1.812082414497789840e+00
2.140000000000000124e+00,-3.002781423830975897e-03,2.865013899901440713e-03,-3.826697976092677256e-02,-1.692063915417079567e+00,-1.695996598686921208e+00,-1.808128264411085873e+00,-1.812082456610662140e+00
2.160000000000000142e+00,-3.002780035485287484e-03,2.865092824933170457e-03,-3.826849053170229553e-02,-1.692063849966236821e+00,-1.695996482657564863e+00,-1.808128250187817532e+00,-1.812082496620549765e+00
2.180000000000000160e+00,-3.004160445366791700e-03,2.780530281226876229e-03,-3.818781951636297800e-02,-1.678104235880641060e+00,-1.705756126872314038e+00,-1.816849035502679399e+00,-1.797699127526752871e+00
2.200000000000000178e+00,-2.964215663650980603e-03,2.438930530385745483e-03,-4.094635806966034214e-02,-1.641077939099136351e+00,-1.732559610127533345e+00,-1.851357197771397844e+00,-1.769702407778448006e+00
2.220000000000000195e+00,-2.914866214594657480e-03,1.593826469307329336e-03,-4.177337032056479410e-02,-1.614716810458771690e+00,-1.756574115739963027e+00,-1.879319849073905813e+00,-1.749216764468545460e+00
2.240000000000000213e+00,-2.889165243929274311e-03,3.112510859915380737e-04,-3.969602751773829152e-02,-1.586460574689512626e+00,-1.789441334905432557e+00,-1.904677024286458797e+00,-1.714651209292552991e+00
2.260000000000000231e+00,-2.866450902819706135e-03,-1.182398887462912706e-03,-3.851534325122521474e-02,-1.543668392059105443e+00,-1.833299295408850282e+00,-1.941830841514329054e+00,-1.664758484397292015e+00
2.280000000000000249e+00,-2.839575329310163338e-03,-4.148619732047921504e-03,-3.755591853555714787e-02,-1.465440729516626073e+00,-1.903536572870019539e+00,-2.007592449927240175e+00,-1.586977004773337807e+00
2.300000000000000266e+00,-2.851784815989375031e-03,-7.197224287688631060e-03,-3.510403486999941897e-02,-1.395904896309023480e+00,-1.982406181748837204e+00,-2.074550917797398419e+00,-1.508919753344648118e+00
2.319999999999999840e+00,-2.850147071091923504e-03,-1.139245810353028444e-02,-3.604480281850980933e-02,-1.278057255710687734e+00,-2.088523677074904938e+00,-2.177052048635171211e+00,-1.394714976653471661e+00
2.339999999999999858e+00,-2.853370094745513990e-03,-1.769483170982404097e-02,-3.697729106314241038e-02,-1.147834246583989692e+00,-2.217245789956100221e+00,-2.306084534305911760e+00,-1.271194878519666505e+00
2.359999999999999876e+00,-2.861669422816605791e-03,-2.532566233075718778e-02,-3.792782824822878845e-02,-1.033758888255319253e+00,-2.336368604898119372e+00,-2.430949011164723395e+00,-1.159499000729279139e+00
2.379999999999999893e+00,-2.890647486078591535e-03,-3.415157785595169387e-02,-3.794259946832410912e-02,-8.912685180488023606e-01,-2.474892850769489172e+00,-2.571025968582597354e+00,-1.012432174924332573e+00
2.399999999999999911e+00,-2.859929485162559203e-03,-4.422683404298879267e-02,-4.257908737869194743e-02,-7.442041881563985495e-01,-2.619617413077469426e+00,-2.736768443122615579e+00,-8.705410273053028058e-01
2.419999999999999929e+00,-2.918383753624416432e-03,-5.552640517989136659e-02,-3.709266635832993153e-02,-6.329752650718855067e-01,-2.770858203287408728e+00,-2.883802733968092280e+00,-7.351581968042496529e-01
2.439999999999999947e+00,-3.086127291596370021e-03,-6.404931992691452469e-02,-2.970125426733453630e-02,-5.090037351530262155e-01,-2.925296249586005537e+00,-3.016356759787341968e+00,-5.863306583851930487e-01
2.459999999999999964e+00,-3.218319392775097036e-03,-5.937758367601379123e-02,-4.107238123801349589e-02,-1.771009165109777017e-01,-3.076465525694897618e+00,-3.177403021598471877e+00,-3.645131390458827836e-01
2.479999999999999982e+00,-3.419842319421479478e-03,-4.326091737291732492e-02,-5.493967611483184521e-02,1.680232390188288183e-01,-3.196277709589436800e+00,-3.324651799300453625e+00,-7.675973357783652529e-02
2.500000000000000000e+00,-3.804804639870565559e-03,-2.497149982782893504e-02,-5.780798172835931170e-02,5.269462820369913425e-01,-3.310571765001983469e+00,-3.426510271486955084e+00,2.357963998346583601e-01
2.520000000000000018e+00,-4.194787285329257785e-03,4.726757494442524951e-03,-7.734431606737871001e-02,1.106403418256657334e+00,-3.392469770940050200e+00,-3.517765166336769944e+00,5.753429427434453292e-01
2.540000000000000036e+00,-4.524803104474703179e-03,5.675617952908777741e-02,-1.107286734190306016e-01,1.934375495795528144e+00,-3.411271603970009725e+00,-3.607456540218528129e+00,8.274428955088521942e-01
2.560000000000000053e+00,-4.666881150783036558e-03,1.409950065079377812e-01,-1.665482923443563634e-01,2.823962337012347668e+00,-3.388139475945215473e+00,-3.680571352738183144e+00,1.028884333911898930e+00
2.580000000000000071e+00,-4.614939326096448649e-03,2.542647091456322062e-01,-2.455550208796302980e-01,3.862381108209605785e+00,-3.358761792694002324e+00,-3.728550652750475702e+00,1.285029011715382197e+00
2.600000000000000089e+00,-4.266228086787022394e-03,4.108576981355040458e-01,-3.489992635950106004e-01,5.043694244932749093e+00,-3.301777354442207102e+00,-3.769057025720549792e+00,1.280747116115785955e+00
2.620000000000000107e+00,-3.688787467993254188e-03,6.178644939226897170e-01,-4.655502786682707006e-01,6.234774001677864774e+00,-3.265529634243508283e+00,-3.803781523388116703e+00,1.010679444074420008e+00
2.640000000000000124e+00,-2.986135619850204589e-03,8.679082453513531359e-01,-5.854168418428254972e-01,7.529457527952903462e+00,-3.259594199043973184e+00,-3.806485293652701163e+00,4.911913157500426008e-01
2.660000000000000142e+00,-2.254616598516003770e-03,1.151126480095140403e+00,-6.952831841196737139e-01,9.050352367126011544e+00,-3.253070476378912446e+00,-3.783742428660911816e+00,-3.514032153799917513e-01
2.680000000000000160e+00,-1.909037597946033112e-03,1.377377973652929022e+00,-7.239362763122140221e-01,1.018143337894845324e+01,-3.240660869238368047e+00,-3.639275902303447996e+00,-7.658147303098196135e-01
2.700000000000000178e+00,-1.626551777931539017e-03,1.496466190119480677e+00,-7.222054409829630206e-01,1.089561584234877145e+01,-3.238797414128625540e+00,-3.361861673549997764e+00,-9.144321471978578142e-01
