time_ms,FL_target_x_mm,FL_target_z_mm,FR_target_x_mm,FR_target_z_mm,RL_target_x_mm,RL_target_z_mm,RR_target_x_mm,RR_target_z_mm,FL_actual_x_mm,FL_actual_z_mm,FR_actual_x_mm,FR_actual_z_mm,RL_actual_x_mm,RL_actual_z_mm,RR_actual_x_mm,RR_actual_z_mm,roll_deg,pitch_deg,FR_minus_RL_z_documented_axis_mm,RL_first_swing_tilt_sensitivity_min_mm,RL_first_swing_tilt_sensitivity_max_mm
1002,-44.41181009712225,0.012973868175530923,4.749370797646896,2.79386304229165,8.652125734707305,2.7030998646262043,-40.64325022510662,-0.05430809755677113,-40.6566812449358,3.6105591488221482,9.888863791165075,12.074596505434105,12.913649371457419,11.28410372716053,-32.65732392491455,5.029465573864355,-1.9,0.1,4.227184781232227,-0.0010236827327203546,12.524056393963798
1021,-44.77173541252794,0.07772184612621358,5.1367949086588425,1.5126155315437066,9.079340528440088,1.4094314663987833,-40.64325022510662,-0.05430809755677113,-41.67067073813466,3.4522314924808892,10.714461060397223,11.10270257494661,13.459534138641843,9.945554705534182,-33.17016422675323,4.741103393281293,-1.6,0.2,3.2248227936682863,-0.15648158476395946,10.576479676327397
1041,-45.21821152828731,-0.12948315353866757,4.858862082616961,0.49391739373155774,9.175754702472727,0.4031269237667612,-40.64325022510662,-0.05430809755677113,-42.28477778682782,3.169538167393113,11.592698533857055,10.092871091522918,14.041846316221434,8.54986361044119,-33.7122997062585,4.415643907267605,-1.5,0.2,3.369965111737247,-0.9059012184704368,9.184316268489063
1061,-45.21821152828731,-0.12948315353866757,4.82910677029294,0.2051523580465925,9.512123948962447,0.1276290094700261,-40.64325022510662,-0.05430809755677113,-42.780024186250905,2.890622172962459,12.477731395867748,9.071900636306863,14.631947113506044,7.167931937659508,-34.25555915849446,4.092347725464449,-1.6,0.2,3.935593292258885,-2.2924166915652133,8.455290156438242
1081,-45.21821152828731,-0.12948315353866757,4.449032543625747,-0.09055177039371531,9.320397067290987,-0.02252318244880258,-40.64325022510662,-0.05430809755677113,-43.27404540017504,2.6111953992783707,11.759375023049772,8.117535799162134,15.22972838831596,5.799870612345423,-34.799934464751544,3.7712195494808975,-1.5,0.2,4.135511545507356,-3.018765179132299,7.086435703130806
1101,-45.49126830200056,0.20887495501342723,4.449032543625747,-0.09055177039371531,9.320397067290987,-0.02252318244880258,-40.422286150066405,0.05306390642402514,-43.76892264758822,2.3336263330525493,10.970713096415368,7.192059582131413,14.112888161100095,4.4069629978644445,-35.345417489636986,3.4522640460925706,-1.4,0.3,3.6988999714666626,-3.8548662128457396,5.771472977359596
1121,-45.40409252252281,0.48179886234371583,4.449032543625747,-0.09055177039371531,9.320397067290987,-0.02252318244880258,-40.83845369060865,0.5552169530833734,-44.264649300368,2.0579181694524857,10.175545960693032,6.273622654667688,13.90587566035309,4.051095856829903,-35.89265071705242,3.159732648889718,-1.4,0.2,3.8337072123111327,-3.846643597512273,5.6337833287937595
1141,-44.91922400273596,1.4086778734699879,4.449032543625747,-0.09055177039371531,8.960147351208342,-0.03476107225224012,-40.59038108200858,1.3809871971029035,-44.76121871941751,1.7840740798789194,9.373930621437793,5.358450186340291,13.762671031169294,3.75175729438898,-36.70073390268894,3.4533401201180673,-1.5,0.1,4.131217745034651,-4.693628170371639,5.294085511687182
1161,-44.6147148265382,2.9628533470247436,4.098714523633973,-0.09749016732867044,9.15210679247741,0.115096771264242,-40.09165474545645,3.0473430070803857,-46.76904563855608,1.7399776590348859,8.565924491954785,4.4490214562941945,13.6189989991235,3.454212022546338,-37.4210293234295,3.832099845375997,-1.5,0.1,3.5295236327056445,-5.381206290793125,4.627030231797876
1182,-44.34509259674879,4.905418286198948,4.097219886098403,-0.11772230368875536,8.79434438474619,0.020168034778583754,-39.721596208644904,4.823601292501312,-47.30172037631411,2.6062848727949754,7.710703236684269,3.501831760354887,13.467642077562347,3.14372537474597,-38.174914801006764,4.232661801140305,-1.6,0.1,3.116134016865585,-6.43158124679416,4.255106834632399
