time_ms,roll_deg,pitch_deg,phase,rate,valid,fault
3409,-2.4,-0.1,0.063,1.0,1,0
3429,-2.5,-0.2,0.071,1.0,1,0
3446,-2.6,-0.3,0.079,1.0,1,0
3466,-2.4,-0.3,0.087,1.0,1,0
3486,-2.2,-0.3,0.095,1.0,1,0
3506,-2.0,-0.4,0.104,1.0,1,0
3526,-1.7,-0.4,0.112,1.0,1,0
3548,-1.7,-0.4,0.12,1.0,1,0
3568,-1.9,-0.4,0.128,1.0,1,0
3588,-1.9,-0.4,0.137,1.0,1,0
3606,-1.8,-0.5,0.145,1.0,1,0
3626,-1.4,-0.7,0.153,1.0,1,0
3646,-1.2,-0.8,0.161,1.0,1,0
3666,-0.7,-0.9,0.17,1.0,1,0
3686,-0.5,-1.0,0.178,1.0,1,0
3706,-0.2,-1.0,0.186,1.0,1,0
3727,0.0,-1.0,0.194,1.0,1,0
3747,0.1,-0.9,0.202,1.0,1,0
3768,0.3,-0.9,0.211,1.0,1,0
3788,0.3,-0.9,0.219,1.0,1,0
3807,0.3,-0.9,0.227,1.0,1,0
3827,0.1,-0.7,0.235,1.0,1,0
3847,-0.4,-0.5,0.244,1.0,1,0
3867,-0.8,-0.4,0.252,1.0,1,0
3886,-1.4,-0.3,0.26,1.0,1,0
3906,-1.6,-0.1,0.268,1.0,1,0
3926,-1.7,-0.1,0.276,1.0,1,0
3946,-1.9,-0.1,0.285,1.0,1,0
3966,-2.2,0.0,0.293,1.0,1,0
3986,-2.4,0.1,0.301,1.0,1,0
4006,-2.5,0.1,0.309,1.0,1,0
4026,-2.5,0.1,0.318,1.0,1,0
4046,-2.5,0.1,0.326,1.0,1,0
4066,-2.5,0.1,0.334,1.0,1,0
4086,-2.4,0.1,0.342,1.0,1,0
4106,-2.3,0.1,0.351,1.0,1,0
4126,-2.2,0.0,0.359,1.0,1,0
4142,-2.0,0.0,0.359,1.0,1,0
4162,-2.0,0.0,0.359,1.0,1,0
4182,-1.9,0.0,0.359,1.0,1,0
4202,-1.9,0.0,0.359,1.0,1,0
4222,-1.8,0.0,0.359,1.0,1,0
4242,-1.8,0.0,0.359,1.0,1,0
4263,-1.8,0.0,0.359,1.0,1,0
4283,-1.8,0.0,0.359,1.0,1,0
4303,-1.9,0.0,0.359,1.0,1,0
4323,-1.9,0.0,0.359,1.0,1,0
4343,-2.0,0.0,0.359,1.0,1,0
4363,-2.1,0.0,0.359,1.0,1,0
4383,-2.2,0.0,0.359,1.0,1,0
4403,-2.2,0.0,0.359,1.0,1,0
4423,-2.3,0.0,0.359,1.0,1,0
4443,-2.3,0.0,0.359,1.0,1,0
4463,-2.4,0.1,0.359,1.0,1,0
4483,-2.4,0.1,0.359,1.0,1,0
4503,-2.3,0.1,0.359,1.0,1,0
4523,-2.2,0.1,0.359,1.0,1,0
4543,-2.1,0.1,0.359,1.0,1,0
4563,-2.1,0.1,0.359,1.0,1,0
4583,-2.0,0.1,0.359,1.0,1,0
4603,-2.0,0.1,0.359,1.0,1,0
4623,-2.0,0.1,0.359,1.0,1,0
4643,-1.9,-0.1,0.359,1.0,1,0
4662,-1.8,-0.2,0.359,1.0,1,0
4683,-1.8,-0.3,0.359,1.0,1,0
4703,-1.8,-0.3,0.359,1.0,1,0
4723,-1.9,-0.3,0.359,1.0,1,0
4743,-1.9,-0.3,0.359,1.0,1,0
4762,-1.9,-0.3,0.359,1.0,1,0
4782,-2.0,-0.3,0.359,1.0,1,0
4802,-2.0,-0.1,0.359,1.0,1,0
4822,-2.1,-0.1,0.359,1.0,1,0
4842,-2.1,0.0,0.359,1.0,1,0
4862,-2.0,0.1,0.359,1.0,1,0
4882,-2.0,0.1,0.359,1.0,1,0
4902,-2.0,0.1,0.359,1.0,1,0
4922,-2.0,0.1,0.359,1.0,1,0
4942,-2.0,0.1,0.359,1.0,1,0
4962,-1.9,0.0,0.359,1.0,1,0
4982,-1.9,-0.1,0.359,1.0,1,0
5002,-1.9,-0.1,0.359,1.0,1,0
5022,-1.9,-0.1,0.359,1.0,1,0
5042,-1.9,-0.1,0.359,1.0,1,0
5062,-1.9,-0.1,0.359,1.0,1,0
5082,-1.9,-0.1,0.359,1.0,1,0
5102,-2.0,-0.1,0.359,1.0,1,0
5123,-2.0,-0.1,0.359,1.0,1,0
