index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
324,1168025,-55,-4,611,1000,1,0
325,1168044,-59,-4,621,1000,1,0
326,1168064,-61,-4,631,1000,1,0
327,1168084,-63,-5,641,1000,1,0
328,1168104,-65,-7,650,1000,1,0
329,1168125,-68,-8,660,1000,1,0
330,1168145,-68,-9,670,1000,1,0
331,1168165,-68,-9,680,1000,1,0
332,1168185,-67,-9,689,1000,1,0
333,1168205,-66,-9,699,1000,1,0
334,1168226,-65,-8,709,1000,1,0
335,1168246,-63,-8,718,1000,1,0
336,1168265,-61,-8,728,1000,1,0
337,1168285,-59,-8,738,1000,1,0
338,1168305,-57,-8,748,1000,1,0
339,1168325,-55,-10,757,1000,1,0
340,1168345,-51,-10,767,1000,1,0
341,1168365,-49,-10,777,1000,1,0
342,1168385,-48,-11,787,1000,1,0
343,1168405,-46,-10,796,1000,1,0
344,1168425,-43,-10,806,1000,1,0
345,1168445,-44,-12,816,1000,1,0
346,1168465,-43,-12,825,1000,1,0
347,1168485,-38,-10,835,1000,1,0
348,1168505,-32,-7,845,1000,1,0
349,1168525,-29,-7,855,1000,1,0
350,1168545,-29,-5,864,1000,1,0
351,1168565,-25,-4,874,1000,1,0
352,1168585,-19,-3,884,1000,1,0
353,1168605,-14,-1,894,1000,1,0
354,1168625,-12,1,903,1000,1,0
355,1168645,-10,1,913,1000,1,0
356,1168660,-8,1,922,1000,1,0
357,1168679,-5,1,932,1000,1,0
358,1168699,-2,2,941,1000,1,0
359,1168719,3,2,950,1000,1,0
360,1168739,7,4,958,1000,1,0
361,1168759,10,4,967,1000,1,0
362,1168779,12,4,975,1000,1,0
363,1168799,14,4,983,1000,1,0
364,1168820,15,3,992,1000,1,0
365,1168840,16,3,0,1000,1,0
366,1168860,16,2,8,1000,1,0
367,1168882,18,3,16,1000,1,0
368,1168902,19,3,25,1000,1,0
369,1168922,21,3,33,1000,1,0
370,1168940,24,2,41,1000,1,0
371,1168960,26,2,49,1000,1,0
372,1168979,27,2,58,1000,1,0
373,1168999,28,1,66,1000,1,0
374,1169020,29,1,74,1000,1,0
375,1169040,30,0,82,1000,1,0
376,1169060,30,0,90,1000,1,0
377,1169082,28,-1,99,1000,1,0
378,1169102,24,-1,107,1000,1,0
379,1169122,18,-3,115,1000,1,0
380,1169142,10,-4,123,1000,1,0
381,1169159,1,-5,132,1000,1,0
382,1169179,-7,-7,140,1000,1,0
383,1169199,-16,-9,148,1000,1,0
384,1169218,-25,-12,156,1000,1,0
385,1169238,-30,-12,165,1000,1,0
386,1169258,-35,-11,173,1000,1,0
387,1169278,-39,-11,181,1000,1,0
388,1169298,-45,-12,189,1000,1,0
389,1169318,-50,-12,197,1000,1,0
390,1169338,-51,-12,206,1000,1,0
391,1169358,-51,-12,214,1000,1,0
392,1169378,-51,-12,222,1000,1,0
393,1169398,-50,-12,230,1000,1,0
394,1169418,-47,-12,239,1000,1,0
395,1169439,-44,-12,247,1000,1,0
396,1169459,-40,-12,255,1000,1,0
397,1169479,-36,-12,263,1000,1,0
398,1169501,-32,-12,272,1000,1,0
399,1169521,-29,-12,280,1000,1,0
400,1169541,-27,-13,288,1000,1,0
401,1169561,-24,-14,296,1000,1,0
402,1169580,-23,-14,304,1000,1,0
403,1169600,-20,-15,313,1000,1,0
404,1169620,-19,-15,321,1000,1,0
405,1169641,-19,-17,329,1000,1,0
406,1169661,-19,-17,337,1000,1,0
407,1169681,-17,-18,346,1000,1,0
408,1169701,-18,-19,354,1000,1,0
409,1169722,-19,-19,362,1000,1,0
410,1169742,-22,-17,370,1000,1,0
411,1169760,-25,-15,379,1000,1,0
412,1169779,-29,-14,387,1000,1,0
413,1169799,-32,-12,395,1000,1,0
414,1169820,-35,-11,403,1000,1,0
