index,mcu_ms,roll10,pitch10,phase1000,rate1000,valid,fault
195,5868041,-10,-2,267,1000,1,0
196,5868061,-11,-2,276,1000,1,0
197,5868081,-14,-2,284,1000,1,0
198,5868105,-17,-1,292,1000,1,0
199,5868121,-19,0,300,1000,1,0
200,5868140,-21,0,309,1000,1,0
201,5868161,-22,0,317,1000,1,0
202,5868181,-22,0,325,1000,1,0
203,5868200,-22,-1,333,1000,1,0
204,5868220,-21,-1,342,1000,1,0
205,5868240,-20,-1,350,1000,1,0
206,5868260,-19,-1,358,1000,1,0
207,5868277,-18,-1,358,1000,1,0
208,5868298,-17,-1,358,1000,1,0
209,5868318,-15,-1,358,1000,1,0
210,5868338,-14,-1,358,1000,1,0
211,5868358,-14,-1,358,1000,1,0
212,5868378,-13,-1,358,1000,1,0
213,5868398,-13,-1,358,1000,1,0
214,5868418,-14,-1,358,1000,1,0
215,5868438,-14,-1,358,1000,1,0
216,5868458,-15,-1,358,1000,1,0
217,5868478,-16,-1,358,1000,1,0
218,5868498,-17,-1,358,1000,1,0
219,5868518,-19,-1,358,1000,1,0
220,5868538,-19,-1,358,1000,1,0
221,5868558,-20,-1,358,1000,1,0
222,5868578,-19,-1,358,1000,1,0
223,5868598,-19,-1,358,1000,1,0
224,5868618,-19,-1,358,1000,1,0
225,5868638,-18,-1,358,1000,1,0
226,5868658,-17,-1,358,1000,1,0
227,5868678,-17,-1,358,1000,1,0
228,5868698,-16,-1,358,1000,1,0
229,5868718,-15,-1,358,1000,1,0
230,5868738,-15,-1,358,1000,1,0
231,5868757,-15,-1,358,1000,1,0
232,5868777,-14,-3,358,1000,1,0
233,5868797,-14,-4,358,1000,1,0
234,5868817,-14,-4,358,1000,1,0
235,5868837,-14,-4,358,1000,1,0
236,5868857,-15,-4,358,1000,1,0
237,5868877,-15,-4,358,1000,1,0
238,5868897,-15,-4,358,1000,1,0
239,5868917,-15,-4,358,1000,1,0
240,5868937,-17,-3,358,1000,1,0
241,5868957,-18,-1,358,1000,1,0
242,5868977,-17,-1,358,1000,1,0
243,5868997,-17,-1,358,1000,1,0
244,5869017,-17,-1,358,1000,1,0
245,5869037,-17,-1,358,1000,1,0
246,5869057,-16,-1,358,1000,1,0
247,5869077,-16,-1,358,1000,1,0
248,5869097,-16,-1,358,1000,1,0
249,5869117,-16,-2,358,1000,1,0
250,5869137,-15,-3,358,1000,1,0
251,5869158,-15,-3,358,1000,1,0
252,5869178,-15,-3,358,1000,1,0
253,5869198,-16,-3,358,1000,1,0
254,5869218,-16,-3,358,1000,1,0
255,5869238,-17,-3,358,1000,1,0
256,5869258,-17,-2,358,1000,1,0
