time_ms,roll_deg,pitch_deg,phase,rate,valid,fault
1227,-1.9,-0.1,0.078,1.0,1,0
1247,-2.0,-0.1,0.087,1.0,1,0
1267,-2.1,-0.2,0.097,1.0,1,0
1287,-2.2,-0.3,0.107,1.0,1,0
1307,-2.2,-0.3,0.116,0.991,1,0
1326,-2.1,-0.3,0.126,0.991,1,0
1346,-1.9,-0.4,0.136,0.991,1,0
1366,-1.5,-0.4,0.145,0.991,1,0
1387,-0.9,-0.5,0.155,0.991,1,0
1407,-0.4,-0.7,0.165,0.991,1,0
1427,0.3,-0.7,0.174,1.0,1,0
1447,1.0,-0.7,0.184,1.0,1,0
1467,1.3,-0.7,0.194,1.0,1,0
1487,2.0,-0.7,0.204,1.0,1,0
1507,2.6,-0.7,0.213,1.0,1,0
1527,3.1,-0.5,0.223,1.0,1,0
1548,3.7,-0.5,0.233,1.0,1,0
1567,4.2,-0.4,0.242,1.0,1,0
1587,4.6,-0.3,0.252,1.0,1,0
1607,5.0,-0.2,0.262,1.0,1,0
1627,5.3,-0.1,0.272,1.0,1,0
1647,5.3,-0.1,0.281,1.0,1,0
1667,5.3,-0.1,0.291,1.0,1,0
1687,5.3,-0.1,0.301,1.0,1,0
1707,5.3,-0.1,0.311,1.0,1,0
1727,5.1,-0.2,0.32,1.0,1,0
1747,5.0,-0.3,0.33,1.0,1,0
1767,5.0,-0.4,0.34,1.0,1,0
1787,4.9,-0.4,0.349,1.0,1,0
1807,4.9,-0.4,0.359,1.0,1,0
1827,4.8,-0.5,0.369,1.0,1,0
1847,4.7,-0.6,0.379,1.0,1,0
1867,4.6,-0.6,0.388,1.0,1,0
1887,4.5,-0.7,0.398,1.0,1,0
1907,4.3,-0.7,0.408,1.0,1,0
1927,4.0,-0.7,0.418,1.0,1,0
1946,3.6,-0.5,0.427,1.0,1,0
1968,3.3,-0.5,0.437,1.0,1,0
1988,3.1,-0.5,0.447,1.0,1,0
2008,2.9,-0.5,0.456,1.0,1,0
2027,2.7,-0.5,0.466,1.0,1,0
2046,2.3,-0.4,0.476,1.0,1,0
2066,1.6,-0.3,0.485,1.0,1,0
2086,1.2,-0.2,0.495,1.0,1,0
2106,0.6,-0.1,0.505,1.0,1,0
2126,-0.1,0.2,0.514,1.0,1,0
2146,-0.5,0.3,0.524,1.0,1,0
2166,-0.9,0.1,0.533,1.0,1,0
2186,-1.4,0.1,0.543,1.0,1,0
2206,-1.9,0.1,0.553,1.0,1,0
2227,-2.4,0.0,0.562,1.0,1,0
2247,-2.7,0.0,0.572,1.0,1,0
2267,-3.1,-0.1,0.581,1.0,1,0
2286,-3.3,-0.1,0.591,1.0,1,0
2307,-3.8,-0.2,0.601,1.0,1,0
2327,-4.2,-0.2,0.61,1.0,1,0
2347,-4.4,-0.3,0.62,1.0,1,0
2367,-4.7,-0.3,0.629,1.0,1,0
2387,-5.0,-0.4,0.639,1.0,1,0
2407,-5.2,-0.4,0.648,1.0,1,0
2427,-5.3,-0.5,0.658,1.0,1,0
2447,-5.3,-0.6,0.668,1.0,1,0
2468,-5.3,-0.5,0.677,1.0,1,0
2488,-5.1,-0.5,0.687,1.0,1,0
2501,-5.0,-0.5,0.696,1.0,1,0
2520,-4.7,-0.5,0.706,1.0,1,0
2540,-4.6,-0.5,0.715,1.0,1,0
2560,-4.5,-0.5,0.723,1.0,1,0
2580,-4.4,-0.5,0.732,1.0,1,0
2600,-4.3,-0.5,0.741,1.0,1,0
2620,-4.3,-0.5,0.749,1.0,1,0
2640,-4.4,-0.5,0.757,1.0,1,0
2662,-4.5,-0.5,0.765,1.0,1,0
2681,-4.6,-0.5,0.774,1.0,1,0
2703,-4.7,-0.6,0.782,1.0,1,0
2723,-4.8,-0.6,0.79,1.0,1,0
2743,-4.8,-0.5,0.798,1.0,1,0
2763,-5.0,-0.5,0.807,1.0,1,0
2783,-5.0,-0.5,0.815,1.0,1,0
2802,-5.1,-0.5,0.823,1.0,1,0
2821,-5.0,-0.4,0.831,1.0,1,0
2841,-4.8,-0.4,0.84,1.0,1,0
2862,-4.8,-0.4,0.848,1.0,1,0
2882,-5.2,-0.4,0.856,1.0,1,0
2902,-5.6,-0.4,0.864,1.0,1,0
2923,-5.8,-0.4,0.872,1.0,1,0
2944,-5.8,-0.5,0.881,1.0,1,0
2964,-5.5,-0.5,0.889,1.0,1,0
2984,-5.1,-0.4,0.897,1.0,1,0
3002,-4.4,-0.3,0.905,1.0,1,0
3022,-3.7,-0.1,0.914,1.0,1,0
3042,-3.4,0.1,0.922,1.0,1,0
3061,-3.1,0.1,0.93,1.0,1,0
3081,-2.8,0.0,0.938,1.0,1,0
3101,-2.3,-0.1,0.947,1.0,1,0
3121,-1.9,-0.2,0.955,1.0,1,0
3141,-1.9,-0.3,0.963,1.0,1,0
3161,-1.7,-0.3,0.971,1.0,1,0
3181,-1.5,-0.3,0.979,1.0,1,0
3200,-1.5,-0.4,0.988,1.0,1,0
3220,-1.5,-0.4,0.996,1.0,1,0
3240,-1.5,-0.4,0.004,1.0,1,0
3260,-1.7,-0.3,0.012,1.0,1,0
3280,-1.9,-0.3,0.021,1.0,1,0
3301,-2.0,-0.3,0.029,1.0,1,0
3321,-2.1,-0.3,0.037,1.0,1,0
3344,-2.2,-0.3,0.045,1.0,1,0
3364,-2.2,-0.2,0.054,1.0,1,0
3384,-2.3,-0.2,0.062,1.0,1,0
3404,-2.4,-0.3,0.07,1.0,1,0
3421,-2.4,-0.3,0.078,1.0,1,0
3441,-2.1,-0.4,0.086,1.0,1,0
3461,-1.9,-0.4,0.095,1.0,1,0
3481,-1.6,-0.4,0.103,1.0,1,0
3501,-1.4,-0.4,0.111,1.0,1,0
3523,-1.2,-0.5,0.119,1.0,1,0
3543,-1.2,-0.7,0.128,1.0,1,0
3563,-1.2,-0.7,0.136,1.0,1,0
3581,-1.0,-0.7,0.144,1.0,1,0
3601,-0.7,-0.9,0.152,1.0,1,0
3621,-0.4,-1.0,0.161,1.0,1,0
3641,0.0,-1.1,0.169,1.0,1,0
3662,0.2,-1.2,0.177,1.0,1,0
3682,0.5,-1.2,0.185,1.0,1,0
3702,0.8,-1.2,0.193,1.0,1,0
3722,1.0,-1.2,0.202,1.0,1,0
3743,1.3,-1.2,0.21,1.0,1,0
3763,1.4,-1.2,0.218,1.0,1,0
3782,1.3,-1.2,0.226,1.0,1,0
3802,1.0,-1.0,0.235,1.0,1,0
3822,0.6,-0.8,0.243,1.0,1,0
3842,0.1,-0.5,0.251,1.0,1,0
3861,-0.5,-0.4,0.259,1.0,1,0
3881,-1.0,-0.2,0.267,1.0,1,0
3901,-1.1,-0.2,0.276,1.0,1,0
3921,-1.4,-0.2,0.284,1.0,1,0
3945,-1.7,-0.1,0.292,1.0,1,0
3961,-1.9,0.0,0.3,1.0,1,0
3980,-2.1,0.0,0.309,1.0,1,0
4001,-2.2,0.0,0.317,1.0,1,0
4021,-2.2,0.0,0.325,1.0,1,0
4040,-2.2,-0.1,0.333,1.0,1,0
4060,-2.1,-0.1,0.342,1.0,1,0
4080,-2.0,-0.1,0.35,1.0,1,0
4100,-1.9,-0.1,0.358,1.0,1,0
4117,-1.8,-0.1,0.358,1.0,1,0
4138,-1.7,-0.1,0.358,1.0,1,0
4158,-1.5,-0.1,0.358,1.0,1,0
4178,-1.4,-0.1,0.358,1.0,1,0
4198,-1.4,-0.1,0.358,1.0,1,0
4218,-1.3,-0.1,0.358,1.0,1,0
4238,-1.3,-0.1,0.358,1.0,1,0
4258,-1.4,-0.1,0.358,1.0,1,0
4278,-1.4,-0.1,0.358,1.0,1,0
4298,-1.5,-0.1,0.358,1.0,1,0
4318,-1.6,-0.1,0.358,1.0,1,0
4338,-1.7,-0.1,0.358,1.0,1,0
4358,-1.9,-0.1,0.358,1.0,1,0
4378,-1.9,-0.1,0.358,1.0,1,0
4398,-2.0,-0.1,0.358,1.0,1,0
4418,-1.9,-0.1,0.358,1.0,1,0
4438,-1.9,-0.1,0.358,1.0,1,0
4458,-1.9,-0.1,0.358,1.0,1,0
4478,-1.8,-0.1,0.358,1.0,1,0
4498,-1.7,-0.1,0.358,1.0,1,0
4518,-1.7,-0.1,0.358,1.0,1,0
4538,-1.6,-0.1,0.358,1.0,1,0
4558,-1.5,-0.1,0.358,1.0,1,0
4578,-1.5,-0.1,0.358,1.0,1,0
4597,-1.5,-0.1,0.358,1.0,1,0
4617,-1.4,-0.3,0.358,1.0,1,0
4637,-1.4,-0.4,0.358,1.0,1,0
4657,-1.4,-0.4,0.358,1.0,1,0
4677,-1.4,-0.4,0.358,1.0,1,0
4697,-1.5,-0.4,0.358,1.0,1,0
4717,-1.5,-0.4,0.358,1.0,1,0
4737,-1.5,-0.4,0.358,1.0,1,0
4757,-1.5,-0.4,0.358,1.0,1,0
4777,-1.7,-0.3,0.358,1.0,1,0
4797,-1.8,-0.1,0.358,1.0,1,0
4817,-1.7,-0.1,0.358,1.0,1,0
4837,-1.7,-0.1,0.358,1.0,1,0
4857,-1.7,-0.1,0.358,1.0,1,0
4877,-1.7,-0.1,0.358,1.0,1,0
4897,-1.6,-0.1,0.358,1.0,1,0
4917,-1.6,-0.1,0.358,1.0,1,0
4937,-1.6,-0.1,0.358,1.0,1,0
4957,-1.6,-0.2,0.358,1.0,1,0
4977,-1.5,-0.3,0.358,1.0,1,0
4998,-1.5,-0.3,0.358,1.0,1,0
5018,-1.5,-0.3,0.358,1.0,1,0
5038,-1.6,-0.3,0.358,1.0,1,0
5058,-1.6,-0.3,0.358,1.0,1,0
5078,-1.7,-0.3,0.358,1.0,1,0
5098,-1.7,-0.2,0.358,1.0,1,0
