time_s,phase,roll_deg,pitch_deg,voltage_v,phase_rate,safety,FL_j2_target_deg,FL_j2_actual_deg,FL_j3_target_deg,FL_j3_actual_deg,FL_normal_force_n,FL_clearance_mm,FL_body_relative_x_from_s_mm,FR_j2_target_deg,FR_j2_actual_deg,FR_j3_target_deg,FR_j3_actual_deg,FR_normal_force_n,FR_clearance_mm,FR_body_relative_x_from_s_mm,RL_j2_target_deg,RL_j2_actual_deg,RL_j3_target_deg,RL_j3_actual_deg,RL_normal_force_n,RL_clearance_mm,RL_body_relative_x_from_s_mm,RR_j2_target_deg,RR_j2_actual_deg,RR_j3_target_deg,RR_j3_actual_deg,RR_normal_force_n,RR_clearance_mm,RR_body_relative_x_from_s_mm
11.74,0.4117936220417988,-0.054433579644839795,-0.0587291846256752,10.727459223446113,1.0,ok,46.011386135692085,45.70064507016557,90.01601794671119,90.95316458596926,6.440061023158712,-1.6663243446954774,3.350631833891976,46.0113861168377,45.94057875548987,90.0160179082293,90.8638755935262,6.634884459876307,-1.7075409779072521,2.1771562496673003,46.01138576650513,45.64252665518989,90.01601670486666,91.09121742591944,7.063816622317388,-1.8556170200238822,3.8924960092739935,46.0113857480446,45.764408070124574,90.01601666681127,90.99253190170329,6.8747235280433685,-1.7839472717783091,3.1767759545259233
11.76,0.4117936220417988,-0.047637625304851314,-0.05614155287258406,10.727526523299254,1.0,ok,46.011386135692085,45.70604709479203,90.01601794671119,90.94958359225907,6.427015684614869,-1.6669809651599574,3.320665785949639,46.0113861168377,45.93431999682538,90.0160179082293,90.86905935210905,6.660986909060772,-1.7124292581713225,2.2140370184084714,46.01138576650513,45.64873413650051,90.01601670486666,91.08173150407912,7.026577138959382,-1.845933504129954,3.8462034328700656,46.0113857480446,45.7659321798691,90.01601666681127,90.99132054918894,6.894771517703309,-1.7852242270964165,3.1678515926895634
11.78,0.4117936220417988,-0.03992203283483679,-0.05395382705927031,10.727487778644045,1.0,ok,46.011386135692085,45.71103865585049,90.01601794671119,90.94584713614955,6.414755611852357,-1.6656610750963723,3.292016560188321,46.0113861168377,45.928492811571225,90.0160179082293,90.87472393334066,6.68024724505039,-1.7182843991547132,2.250242165558886,46.01138576650513,45.654813611199074,90.01601670486666,91.07284914470354,6.998293284144849,-1.836212360263028,3.801759611636535,46.0113857480446,45.767800165364015,90.01601666681127,90.99150370748067,6.915297804773496,-1.7883972165979312,3.1606214509695696
11.8,0.4117936220417988,-0.03233702884701413,-0.05223378348622854,10.727351558945713,1.0,ok,46.011386135692085,45.715514303196656,90.01601794671119,90.94236770102442,6.409947123304682,-1.6634317361527011,3.266031719897117,46.0113861168377,45.922674126055426,90.0160179082293,90.88043772517868,6.688125640433364,-1.7237451050333383,2.2865315548611376,46.01138576650513,45.660667649694126,90.01601670486666,91.06506999283002,6.979855710954714,-1.827622898512675,3.760664711366629,46.0113857480446,45.769609668287245,90.01601666681127,90.99269608031258,6.932222801961571,-1.7926113942317752,3.1558694673664567
11.82,0.4117936220417988,-0.02628717568816531,-0.05097902201101742,10.72717166348729,1.0,ok,46.011386135692085,45.719594214613736,90.01601794671119,90.94008127673075,6.415886653604748,-1.6618854633934226,3.244317490227855,46.0113861168377,45.91654530910058,90.0160179082293,90.8852893868565,6.681251405419352,-1.7273887161601138,2.3221700233451994,46.01138576650513,45.66624294748352,90.01601670486666,91.0589202684629,6.974991568261375,-1.8210316159218143,3.724290711549838,46.0113857480446,45.77111477696387,90.01601666681127,90.9941365223978,6.939926247621572,-1.7967780331304348,3.152919408159316
11.84,0.4117936220417988,-0.022424609681030258,-0.05010719028233843,10.726943748745285,1.0,ok,46.011386135692085,45.72331277161158,90.01601794671119,90.93887589491095,6.430492243800251,-1.6617265150394163,3.226479514239211,46.0113861168377,45.91000499220892,90.0160179082293,90.88911204899892,6.663274079933019,-1.7284382759233836,2.3572005576921464,46.01138576650513,45.67166546161941,90.01601670486666,91.05456034395593,6.988104016028415,-1.8171970631189367,3.6924940152949226,46.0113857480446,45.77206978961163,90.01601666681127,90.99533768579624,6.932200073420933,-1.7997906780388844,3.151684669065652
11.86,0.4117936220417988,-0.021066389024440593,-0.04947613891313121,10.726694415855011,1.0,ok,46.011386135692085,45.72686445820999,90.01601794671119,90.93867252861567,6.4466109877976345,-1.663361423284042,3.211539050310103,46.0113861168377,45.90297215296351,90.0160179082293,90.89187804680672,6.643664407021213,-1.7268359910435973,2.3918977422072163,46.01138576650513,45.67711613429008,90.01601670486666,91.05200464453388,7.00026933383795,-1.8165316074006954,3.664591673114698,46.0113857480446,45.77224822153644,90.01601666681127,90.99589767744575,6.9249523359085146,-1.800653386341694,3.152187585673316
11.88,0.4117936220417988,-0.021289662275120174,-0.049000515568409085,10.72643783398191,1.0,ok,46.011386135692085,45.73015864251891,90.01601794671119,90.93912084200977,6.46213373344621,-1.6662288384807975,3.199096319321942,46.0113861168377,45.89580725747013,90.0160179082293,90.89384419058707,6.625246448869858,-1.7235329903711183,2.4253565552293797,46.01138576650513,45.68231026596141,90.01601670486666,91.05041014986412,7.0110005021470085,-1.8177553971933589,3.6398646860448522,46.0113857480446,45.772018644361026,90.01601666681127,90.99604122067939,6.918196742193569,-1.800137461598836,3.153427403345427
11.9,0.4117936220417988,-0.02227277026060939,-0.04860424610095882,10.726189917437644,1.0,ok,46.011386135692085,45.7331717668434,90.01601794671119,90.93990177304914,6.4756388878764115,-1.6696602689785685,3.18854098194854,46.0113861168377,45.88875833160631,90.0160179082293,90.89530734294468,6.609618794451984,-1.719500036678593,2.457225734335072,46.01138576650513,45.687172747921466,90.01601670486666,91.04931100894788,7.019188119668989,-1.8197745907332572,3.6175862951004776,46.0113857480446,45.771586261405254,90.01601666681127,90.99592352946068,6.912862659882176,-1.798990553408885,3.1549135952194107
11.92,0.4117936220417988,-0.02340321717817527,-0.048235345654239356,10.725958482114155,1.0,ok,46.011386135692085,45.73590489749942,90.01601794671119,90.94074820388201,6.486341171106604,-1.6731240865851018,3.1792753245075414,46.0113861168377,45.88199280141784,90.0160179082293,90.8965322561326,6.597542366951017,-1.7154518325037047,2.4874128398904016,46.01138576650513,45.691681121577865,90.01601670486666,91.0483672814194,7.024188978292692,-1.8218615693247378,3.5970962543141747,46.0113857480446,45.77109140782252,90.01601666681127,90.9956979130279,6.909619455323759,-1.7977179306887838,3.15641479374798
