linear,local_phase,leg,j1,j2,j3,x_mm,y_mm,z_mm,extra_z_mm,extra_xy_error_mm,option_ok,servo_ok
-1,0.016000,3,0.750000,63.257519,86.034676,-266.762054,-95.247047,84.211288,0.000000,0.000000,1,1
-1,0.017000,0,0.750000,63.236267,86.059448,132.378525,95.248344,84.204575,0.000000,0.000000,1,1
-1,0.017000,1,0.750000,63.236267,86.059448,132.378525,-95.248344,84.204575,0.000000,0.000000,1,1
-1,0.017000,2,0.750000,63.236267,86.059448,-266.621460,95.248337,84.204567,0.000000,0.000000,1,1
-1,0.017000,3,0.750000,63.236267,86.059448,-266.621460,-95.248344,84.204567,0.000000,0.000000,1,1
-1,0.018000,0,0.750000,63.214985,86.084183,132.519119,95.249641,84.197914,0.000000,0.000000,1,1
-1,0.018000,1,0.750000,63.214985,86.084183,132.519119,-95.249641,84.197914,0.000000,0.000000,1,1
-1,0.018000,2,0.750000,63.214985,86.084183,-266.480927,95.249641,84.197876,0.000000,0.000000,1,1
-1,0.018000,3,0.750000,63.214985,86.084183,-266.480927,-95.249649,84.197876,0.000000,0.000000,1,1
-1,0.019000,0,0.750000,63.193657,86.108856,132.659653,95.250946,84.191216,0.000000,0.000000,1,1
-1,0.019000,1,0.750000,63.193657,86.108856,132.659653,-95.250946,84.191216,0.000000,0.000000,1,1
-1,0.019000,2,0.750000,63.193657,86.108856,-266.340363,95.250931,84.191185,0.000000,0.000000,1,1
-1,0.019000,3,0.750000,63.193657,86.108856,-266.340363,-95.250938,84.191185,0.000000,0.000000,1,1
-1,0.020000,0,0.750000,63.172291,86.133484,132.800232,95.252243,84.184547,0.000000,0.000000,1,1
-1,0.020000,1,0.750000,63.172291,86.133484,132.800232,-95.252243,84.184547,0.000000,0.000000,1,1
-1,0.020000,2,0.750000,63.172291,86.133484,-266.199799,95.252220,84.184547,0.000000,0.000000,1,1
-1,0.020000,3,0.750000,63.172291,86.133484,-266.199799,-95.252228,84.184547,0.000000,0.000000,1,1
-1,0.021000,0,0.750000,63.150879,86.158058,132.940826,95.253548,84.177940,0.000000,0.000000,1,1
-1,0.021000,1,0.750000,63.150879,86.158058,132.940826,-95.253548,84.177940,0.000000,0.000000,1,1
-1,0.021000,2,0.750000,63.150879,86.158058,-266.059204,95.253540,84.177933,0.000000,0.000000,1,1
-1,0.021000,3,0.750000,63.150879,86.158058,-266.059204,-95.253548,84.177933,0.000000,0.000000,1,1
-1,0.022000,0,0.750000,63.129433,86.182587,133.081436,95.254852,84.171288,0.000000,0.000000,1,1
-1,0.022000,1,0.750000,63.129433,86.182587,133.081436,-95.254852,84.171288,0.000000,0.000000,1,1
-1,0.022000,2,0.750000,63.129433,86.182587,-265.918579,95.254845,84.171295,0.000000,0.000000,1,1
-1,0.022000,3,0.750000,63.129433,86.182587,-265.918579,-95.254852,84.171295,0.000000,0.000000,1,1
-1,0.023000,0,0.750000,63.107944,86.207054,133.222046,95.256165,84.164703,0.000000,0.000000,1,1
-1,0.023000,1,0.750000,63.107944,86.207054,133.222046,-95.256165,84.164703,0.000000,0.000000,1,1
-1,0.023000,2,0.750000,63.107944,86.207054,-265.778015,95.256142,84.164665,0.000000,0.000000,1,1
-1,0.023000,3,0.750000,63.107944,86.207054,-265.778015,-95.256149,84.164665,0.000000,0.000000,1,1
-1,0.024000,0,0.750000,63.086414,86.231491,133.362732,95.257469,84.158150,0.000000,0.000000,1,1
-1,0.024000,1,0.750000,63.086414,86.231491,133.362732,-95.257469,84.158150,0.000000,0.000000,1,1
-1,0.024000,2,0.750000,63.086414,86.231491,-265.637299,95.257454,84.158104,0.000000,0.000000,1,1
-1,0.024000,3,0.750000,63.086414,86.231491,-265.637299,-95.257462,84.158104,0.000000,0.000000,1,1
-1,0.025000,0,0.750000,63.064850,86.255875,133.503326,95.258766,84.151527,0.000000,0.000000,1,1
-1,0.025000,1,0.750000,63.064850,86.255875,133.503326,-95.258766,84.151527,0.000000,0.000000,1,1
-1,0.025000,2,0.750000,63.064850,86.255875,-265.496674,95.258751,84.151482,0.000000,0.000000,1,1
-1,0.025000,3,0.750000,63.064850,86.255875,-265.496674,-95.258759,84.151482,0.000000,0.000000,1,1
-1,0.026000,0,0.750000,63.043240,86.280197,133.643997,95.260071,84.144669,0.000000,0.000000,1,1
-1,0.026000,1,0.750000,63.043240,86.280197,133.643997,-95.260071,84.144669,0.000000,0.000000,1,1
-1,0.026000,2,0.750000,63.043240,86.280197,-265.356049,95.260056,84.144638,0.000000,0.000000,1,1
-1,0.026000,3,0.750000,63.043240,86.280197,-265.356049,-95.260063,84.144638,0.000000,0.000000,1,1
-1,0.027000,0,0.750000,63.021595,86.304474,133.784622,95.261360,84.137856,0.000000,0.000000,1,1
-1,0.027000,1,0.750000,63.021595,86.304474,133.784622,-95.261360,84.137856,0.000000,0.000000,1,1
-1,0.027000,2,0.750000,63.021595,86.304474,-265.215424,95.261360,84.137833,0.000000,0.000000,1,1
-1,0.027000,3,0.750000,63.021595,86.304474,-265.215424,-95.261368,84.137833,0.000000,0.000000,1,1
-1,0.028000,0,0.750000,62.999905,86.328697,133.925247,95.262657,84.131088,0.000000,0.000000,1,1
-1,0.028000,1,0.750000,62.999905,86.328697,133.925247,-95.262657,84.131088,0.000000,0.000000,1,1
-1,0.028000,2,0.750000,62.999905,86.328697,-265.074829,95.262657,84.131050,0.000000,0.000000,1,1
-1,0.028000,3,0.750000,62.999905,86.328697,-265.074829,-95.262665,84.131050,0.000000,0.000000,1,1
-1,0.029000,0,0.750000,62.978184,86.352875,134.065948,95.263954,84.124237,0.000000,0.000000,1,1
-1,0.029000,1,0.750000,62.978184,86.352875,134.065948,-95.263954,84.124237,0.000000,0.000000,1,1
-1,0.029000,2,0.750000,62.978184,86.352875,-264.934113,95.263939,84.124252,0.000000,0.000000,1,1
-1,0.029000,3,0.750000,62.978184,86.352875,-264.934113,-95.263947,84.124252,0.000000,0.000000,1,1
-1,0.030000,0,0.750000,62.956417,86.376999,134.206558,95.265259,84.117531,0.000000,0.000000,1,1
-1,0.030000,1,0.750000,62.956417,86.376999,134.206558,-95.265259,84.117531,0.000000,0.000000,1,1
-1,0.030000,2,0.750000,62.956417,86.376999,-264.793457,95.265244,84.117508,0.000000,0.000000,1,1
-1,0.030000,3,0.750000,62.956417,86.376999,-264.793457,-95.265251,84.117508,0.000000,0.000000,1,1
-1,0.031000,0,0.750000,62.934608,86.401085,134.347275,95.266548,84.110840,0.000000,0.000000,1,1
-1,0.031000,1,0.750000,62.934608,86.401085,134.347275,-95.266548,84.110840,0.000000,0.000000,1,1
-1,0.031000,2,0.750000,62.934608,86.401085,-264.652740,95.266541,84.110794,0.000000,0.000000,1,1
-1,0.031000,3,0.750000,62.934608,86.401085,-264.652740,-95.266548,84.110794,0.000000,0.000000,1,1
-1,0.032000,0,0.750000,62.912758,86.425102,134.487900,95.267860,84.104080,0.000000,0.000000,1,1
-1,0.032000,1,0.750000,62.912758,86.425102,134.487900,-95.267860,84.104080,0.000000,0.000000,1,1
-1,0.032000,2,0.750000,62.912758,86.425102,-264.512115,95.267853,84.104065,0.000000,0.000000,1,1
-1,0.032000,3,0.750000,62.912758,86.425102,-264.512115,-95.267860,84.104065,0.000000,0.000000,1,1
-1,0.033000,0,0.750000,62.890873,86.449081,134.628601,95.269165,84.097389,0.000000,0.000000,1,1
-1,0.033000,1,0.750000,62.890873,86.449081,134.628601,-95.269165,84.097389,0.000000,0.000000,1,1
-1,0.033000,2,0.750000,62.890873,86.449081,-264.371399,95.269165,84.097382,0.000000,0.000000,1,1
-1,0.033000,3,0.750000,62.890873,86.449081,-264.371399,-95.269173,84.097382,0.000000,0.000000,1,1
-1,0.034000,0,0.750000,62.868954,86.473015,134.769318,95.270462,84.090714,0.000000,0.000000,1,1
-1,0.034000,1,0.750000,62.868954,86.473015,134.769318,-95.270462,84.090714,0.000000,0.000000,1,1
-1,0.034000,2,0.750000,62.868954,86.473015,-264.230713,95.270462,84.090691,0.000000,0.000000,1,1
-1,0.034000,3,0.750000,62.868954,86.473015,-264.230713,-95.270470,84.090691,0.000000,0.000000,1,1
-1,0.035000,0,0.750000,62.846981,86.496887,134.910019,95.271759,84.084030,0.000000,0.000000,1,1
-1,0.035000,1,0.750000,62.846981,86.496887,134.910019,-95.271759,84.084030,0.000000,0.000000,1,1
-1,0.035000,2,0.750000,62.846981,86.496887,-264.090027,95.271759,84.083992,0.000000,0.000000,1,1
-1,0.035000,3,0.750000,62.846981,86.496887,-264.090027,-95.271767,84.083992,0.000000,0.000000,1,1
-1,0.036000,0,0.750000,62.824982,86.520721,135.050720,95.273056,84.077377,0.000000,0.000000,1,1
-1,0.036000,1,0.750000,62.824982,86.520721,135.050720,-95.273056,84.077377,0.000000,0.000000,1,1
-1,0.036000,2,0.750000,62.824982,86.520721,-263.949371,95.273048,84.077354,0.000000,0.000000,1,1
-1,0.036000,3,0.750000,62.824982,86.520721,-263.949371,-95.273056,84.077354,0.000000,0.000000,1,1
-1,0.037000,0,0.750000,62.802940,86.544502,135.191467,95.274368,84.070686,0.000000,0.000000,1,1
-1,0.037000,1,0.750000,62.802940,86.544502,135.191467,-95.274368,84.070686,0.000000,0.000000,1,1
-1,0.037000,2,0.750000,62.802940,86.544502,-263.808563,95.274361,84.070686,0.000000,0.000000,1,1
-1,0.037000,3,0.750000,62.802940,86.544502,-263.808563,-95.274368,84.070694,0.000000,0.000000,1,1
-1,0.038000,0,0.750000,62.780861,86.568230,135.332169,95.275665,84.064186,0.000000,0.000000,1,1
-1,0.038000,1,0.750000,62.780861,86.568230,135.332169,-95.275665,84.064186,0.000000,0.000000,1,1
-1,0.038000,2,0.750000,62.780861,86.568230,-263.667847,95.275658,84.064140,0.000000,0.000000,1,1
-1,0.038000,3,0.750000,62.780861,86.568230,-263.667847,-95.275665,84.064140,0.000000,0.000000,1,1
-1,0.039000,0,0.750000,62.758728,86.591911,135.472977,95.276970,84.057541,0.000000,0.000000,1,1
-1,0.039000,1,0.750000,62.758728,86.591911,135.472977,-95.276970,84.057541,0.000000,0.000000,1,1
-1,0.039000,2,0.750000,62.758728,86.591911,-263.527008,95.276955,84.057518,0.000000,0.000000,1,1
-1,0.039000,3,0.750000,62.758728,86.591911,-263.527008,-95.276962,84.057518,0.000000,0.000000,1,1
-1,0.040000,0,0.750000,62.736572,86.615532,135.613678,95.278259,84.050934,0.000000,0.000000,1,1
-1,0.040000,1,0.750000,62.736572,86.615532,135.613678,-95.278259,84.050934,0.000000,0.000000,1,1
-1,0.040000,2,0.750000,62.736572,86.615532,-263.386353,95.278259,84.050926,0.000000,0.000000,1,1
-1,0.040000,3,0.750000,62.736572,86.615532,-263.386353,-95.278259,84.050926,0.000000,0.000000,1,1
-1,0.041000,0,0.750000,62.714367,86.639122,135.754532,95.279564,84.044334,0.000000,0.000000,1,1
-1,0.041000,1,0.750000,62.714367,86.639122,135.754532,-95.279564,84.044334,0.000000,0.000000,1,1
-1,0.041000,2,0.750000,62.714367,86.639122,-263.245453,95.279549,84.044373,0.000000,0.000000,1,1
-1,0.041000,3,0.750000,62.714367,86.639122,-263.245453,-95.279556,84.044373,0.000000,0.000000,1,1
-1,0.042000,0,0.750000,62.692120,86.662651,135.895264,95.280869,84.037827,0.000000,0.000000,1,1
-1,0.042000,1,0.750000,62.692120,86.662651,135.895264,-95.280869,84.037827,0.000000,0.000000,1,1
-1,0.042000,2,0.750000,62.692120,86.662651,-263.104736,95.280853,84.037849,0.000000,0.000000,1,1
-1,0.042000,3,0.750000,62.692120,86.662651,-263.104736,-95.280861,84.037849,0.000000,0.000000,1,1
-1,0.043000,0,0.750000,62.669849,86.686134,136.035919,95.282158,84.031349,0.000000,0.000000,1,1
-1,0.043000,1,0.750000,62.669849,86.686134,136.035919,-95.282158,84.031349,0.000000,0.000000,1,1
-1,0.043000,2,0.750000,62.669849,86.686134,-262.964142,95.282150,84.031303,0.000000,0.000000,1,1
-1,0.043000,3,0.750000,62.669849,86.686134,-262.964142,-95.282158,84.031303,0.000000,0.000000,1,1
-1,0.044000,0,0.750000,62.647526,86.709557,136.176773,95.283455,84.024765,0.000000,0.000000,1,1
-1,0.044000,1,0.750000,62.647526,86.709557,136.176773,-95.283455,84.024765,0.000000,0.000000,1,1
-1,0.044000,2,0.750000,62.647526,86.709557,-262.823242,95.283447,84.024780,0.000000,0.000000,1,1
-1,0.044000,3,0.750000,62.647526,86.709557,-262.823242,-95.283455,84.024780,0.000000,0.000000,1,1
-1,0.045000,0,0.750000,62.625164,86.732941,136.317551,95.284767,84.018326,0.000000,0.000000,1,1
-1,0.045000,1,0.750000,62.625164,86.732941,136.317551,-95.284767,84.018326,0.000000,0.000000,1,1
-1,0.045000,2,0.750000,62.625164,86.732941,-262.682465,95.284752,84.018295,0.000000,0.000000,1,1
-1,0.045000,3,0.750000,62.625164,86.732941,-262.682465,-95.284767,84.018295,0.000000,0.000000,1,1
-1,0.046000,0,0.750000,62.602768,86.756271,136.458374,95.286064,84.011765,0.000000,0.000000,1,1
-1,0.046000,1,0.750000,62.602768,86.756271,136.458374,-95.286064,84.011765,0.000000,0.000000,1,1
-1,0.046000,2,0.750000,62.602768,86.756271,-262.541687,95.286057,84.011803,0.000000,0.000000,1,1
-1,0.046000,3,0.750000,62.602768,86.756271,-262.541687,-95.286072,84.011803,0.000000,0.000000,1,1
-1,0.047000,0,0.750000,62.580326,86.779556,136.599182,95.287369,84.005394,0.000000,0.000000,1,1
-1,0.047000,1,0.750000,62.580326,86.779556,136.599182,-95.287369,84.005394,0.000000,0.000000,1,1
-1,0.047000,2,0.750000,62.580326,86.779556,-262.400879,95.287361,84.005341,0.000000,0.000000,1,1
-1,0.047000,3,0.750000,62.580326,86.779556,-262.400879,-95.287369,84.005341,0.000000,0.000000,1,1
-1,0.048000,0,0.750000,62.557854,86.802788,136.739960,95.288666,83.998833,0.000000,0.000000,1,1
-1,0.048000,1,0.750000,62.557854,86.802788,136.739960,-95.288666,83.998833,0.000000,0.000000,1,1
-1,0.048000,2,0.750000,62.557854,86.802788,-262.260010,95.288651,83.998764,0.000000,0.000000,1,1
-1,0.048000,3,0.750000,62.557854,86.802788,-262.260010,-95.288658,83.998764,0.000000,0.000000,1,1
-1,0.049000,0,0.750000,62.535336,86.825974,136.880814,95.289986,83.992149,0.000000,0.000000,1,1
