time,nom_z_fl,nom_z_fr,nom_z_rl,nom_z_rr,cmd_z_fl,cmd_z_fr,cmd_z_rl,cmd_z_rr,clearance_mm_fl,clearance_mm_fr,clearance_mm_rl,clearance_mm_rr,roll,pitch
16.34,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5515946379376626,-2.4034873437699664,-1.975670284705397,-1.0754932586993555,-0.0208733593035657,0.12705551004046856
16.36,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516037980905142,-2.403483740446327,-1.9756726919601917,-1.0754917057255313,-0.02087551664796699,0.12705462955932628
16.38,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516050160999975,-2.4034833175109944,-1.9756730440072325,-1.0754907604488673,-0.020876045171106413,0.12705467797640096
16.4,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516054152488954,-2.4034833333715784,-1.9756731603613777,-1.0754908614496617,-0.020876068814583686,0.1270546354354443
16.42,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516063558637834,-2.403482981864078,-1.975673447017927,-1.0754906398744366,-0.02087631765684203,0.1270545760284541
16.44,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516055837907268,-2.4034833789646353,-1.975673257663693,-1.0754910355612515,-0.020876038331672488,0.12705459526212676
16.46,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516029638924338,-2.403484434487093,-1.9756725674407103,-1.075491828894758,-0.020875291288967947,0.12705477106576263
16.48,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5515971153452819,-2.403486206147113,-1.975671139593821,-1.0754923707699415,-0.02087413206694864,0.12705540099396537
16.5,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5515995320234122,-2.403485680741356,-1.9756716285099853,-1.0754930157254907,-0.0208742504886339,0.1270549549226085
16.52,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,0.06703658967960124,0.06515535417626933,0.0651893557077156,0.06703659066824866,-1.5516025121346013,-2.4034841896554657,-1.9756724890333464,-1.0754915186911314,-0.02087533079029689,0.1270548621181242
