# time,phase,fl_z_mm,fr_z_mm,rl_z_mm,rr_z_mm,roll,pitch,x
8.000000000000000444e-01,0.000000000000000000e+00,-1.691870969486718224e+00,-1.696279256306471028e+00,-1.807948906765430408e+00,-1.812302826784319754e+00,3.049616648584857915e-03,-3.718609491095813124e-02,-3.003739408623124548e-03
8.200000000000000622e-01,0.000000000000000000e+00,-1.691903183845988590e+00,-1.696250981545490477e+00,-1.807972683066202180e+00,-1.812262396959082089e+00,3.017558983668739390e-03,-3.724295156573415727e-02,-3.003700294047516577e-03
8.399999999999999689e-01,0.000000000000000000e+00,-1.691950834364734702e+00,-1.696206955271884587e+00,-1.808010112368807487e+00,-1.812210348416488204e+00,2.971392271177908904e-03,-3.729678211954771255e-02,-3.003653594598206834e-03
8.599999999999999867e-01,0.000000000000000000e+00,-1.692001931533584802e+00,-1.696157885397807430e+00,-1.808051914209934941e+00,-1.812157422852799682e+00,2.922077243465595695e-03,-3.734813361880931493e-02,-3.003604418698441365e-03
8.800000000000000044e-01,0.000000000000000000e+00,-1.692048209769599021e+00,-1.696111628323872189e+00,-1.808091143620935926e+00,-1.812110799777416625e+00,2.877327471079031088e-03,-3.739728578518485697e-02,-3.003556021663050368e-03
9.000000000000000222e-01,0.000000000000000000e+00,-1.692084915016461855e+00,-1.696073067837096326e+00,-1.808123416678197204e+00,-1.812074390729643492e+00,2.841673685233634446e-03,-3.744434953612965633e-02,-3.003510183160992050e-03
9.200000000000000400e-01,0.000000000000000000e+00,-1.692110212912312894e+00,-1.696044441493963717e+00,-1.808146694224681328e+00,-1.812049455567885214e+00,2.816929478249298804e-03,-3.748934690387659835e-02,-3.003467633569516411e-03
9.400000000000000577e-01,0.000000000000000000e+00,-1.692124422251022109e+00,-1.696025918523563103e+00,-1.808160803573821696e+00,-1.812035347902293925e+00,2.802861325442879050e-03,-3.753226787194136049e-02,-3.003428441289467468e-03
9.599999999999999645e-01,0.000000000000000000e+00,-1.692129231936630118e+00,-1.696016265814871637e+00,-1.808166854961275272e+00,-1.812030249384009251e+00,2.797905162600399127e-03,-3.757310543942877362e-02,-3.003392319328018149e-03
9.799999999999999822e-01,0.000000000000000000e+00,-1.692127008131448562e+00,-1.696013481711299065e+00,-1.808166671279733073e+00,-1.812031803075715652e+00,2.799818728651605557e-03,-3.761187318744996233e-02,-3.003358841161442392e-03
1.000000000000000000e+00,0.000000000000000000e+00,-1.692120250409850923e+00,-1.696015322162826244e+00,-1.808162307329885810e+00,-1.812037599808302701e+00,2.806204725514439835e-03,-3.764861053718117356e-02,-3.003327574661600070e-03
1.020000000000000018e+00,0.000000000000000000e+00,-1.692111216530151063e+00,-1.696019683791807786e+00,-1.808155696118002309e+00,-1.812045505700084158e+00,2.814878859392119792e-03,-3.768338053042825930e-02,-3.003298151649165179e-03
1.040000000000000036e+00,0.000000000000000000e+00,-1.692101707026379742e+00,-1.696024839821969721e+00,-1.808148428997045309e+00,-1.812053843057388702e+00,2.824086137955352828e-03,-3.771626397136915165e-02,-3.003270292609029179e-03
1.060000000000000053e+00,0.000000000000000000e+00,-1.692092983166998410e+00,-1.696029546207539207e+00,-1.808141655322416996e+00,-1.812061451256351985e+00,2.832587787457640019e-03,-3.774735259799541498e-02,-3.003243804076410114e-03
1.080000000000000071e+00,0.000000000000000000e+00,-1.692085783600465243e+00,-1.696033047138684857e+00,-1.808136075450397673e+00,-1.812067660464284469e+00,2.839650781460654420e-03,-3.777674288024761989e-02,-3.003218562334408846e-03
1.100000000000000089e+00,0.000000000000000000e+00,-1.692080403943325262e+00,-1.696035012934325792e+00,-1.808131996783743478e+00,-1.812072211022041524e+00,2.844974115429991200e-03,-3.780453120142200640e-02,-3.003194492818791247e-03
1.120000000000000107e+00,0.000000000000000000e+00,-1.692076807567676644e+00,-1.696035441410691291e+00,-1.808129424100041849e+00,-1.812075147223323635e+00,2.848582856273661028e-03,-3.783081060253074696e-02,-3.003171550856600577e-03
1.140000000000000124e+00,0.000000000000000000e+00,-1.692074742497998940e+00,-1.696034548289516941e+00,-1.808128160387230343e+00,-1.812076707806434150e+00,2.850714822507463032e-03,-3.785566892958509844e-02,-3.003149706454965803e-03
1.159999999999999920e+00,0.000000000000000000e+00,-1.692073847046914103e+00,-1.696032665084067803e+00,-1.808127900998546256e+00,-1.812077228399603612e+00,2.851717361146643981e-03,-3.787918806744181716e-02,-3.003128933874718316e-03
1.179999999999999938e+00,0.000000000000000000e+00,-1.692073734151696485e+00,-1.696030155688601937e+00,-1.808128310643586367e+00,-1.812077064495230871e+00,2.851964471205780359e-03,-3.790144391174311150e-02,-3.003109205557691428e-03
1.199999999999999956e+00,0.000000000000000000e+00,-1.692074050550062436e+00,-1.696027356586651713e+00,-1.808129078606071527e+00,-1.812076537995255254e+00,2.851798379135689863e-03,-3.792250677034839090e-02,-3.003090489434279489e-03
1.219999999999999973e+00,0.000000000000000000e+00,-1.692074511532158709e+00,-1.696024540772795408e+00,-1.808129952080100855e+00,-1.812075906308097784e+00,2.851495052213555426e-03,-3.794244195753146420e-02,-3.003072748515571867e-03
1.239999999999999991e+00,0.000000000000000000e+00,-1.692074914948632491e+00,-1.696021902245634871e+00,-1.808130750513614604e+00,-1.812075350389477535e+00,2.851250140412687605e-03,-3.796131042150591856e-02,-3.003055941794413857e-03
1.260000000000000009e+00,0.000000000000000000e+00,-1.692075139639894532e+00,-1.696019556245147220e+00,-1.808131365433639282e+00,-1.812074976886509425e+00,2.851180315637405135e-03,-3.797916931335244134e-02,-3.003040025708055699e-03
1.280000000000000027e+00,0.000000000000000000e+00,-1.692075133748981886e+00,-1.696017549906374988e+00,-1.808131750670547655e+00,-1.812074829328103043e+00,2.851334634520447109e-03,-3.799607245656014959e-02,-3.003024955663516175e-03
1.300000000000000044e+00,0.000000000000000000e+00,-1.692074897869835670e+00,-1.696015878412622468e+00,-1.808131907534267446e+00,-1.812074903845019902e+00,2.851711035553493572e-03,-3.801207071055070358e-02,-3.003010687342965064e-03
1.320000000000000062e+00,0.000000000000000000e+00,-1.692074466987998571e+00,-1.696014502644373145e+00,-1.808131868628645833e+00,-1.812075165815923317e+00,2.852274050149903890e-03,-3.802721224083371182e-02,-3.002997177670824538e-03
